Chapter,Category,Description
036.txt,coherence,"Twill claims the cracker with the mockingjay symbol means 'we're on your side,' but Katniss never got a full explanation of what the bird signifies by chapter's end, despite Twill and Bonnie recognizing that Katniss doesn't know about the mockingjay symbol's meaning. The partial explanation creates confusion about whether Katniss actually learns the symbol's significance as a rebel emblem."
036.txt,cross_chapter,"Katniss mentions receiving fresh buns with cheese baked into the top 'since Peeta found out they were my favorite.' However, in the first book, Peeta's father gave Katniss cookies before she left for the Games, and Peeta's kindness was established through burning bread years earlier. There is no established scene where Peeta specifically learns about cheese buns being her favorite or arranges to have them supplied, making this seem like a retroactive addition without proper foundation in previous events."
076.txt,cross_chapter,"Katniss states she doesn't have a Holo, but in the previous chapter (Chapter 76), she detonated the Holo to kill the mutts that were hunting them. The Holo was destroyed in the previous chapter, so her statement that she 'doesn't have a Holo' is technically true but misleadingly framed as a present lack rather than a recent loss. More critically, the narrative treats this as a current limitation rather than acknowledging the recent destruction."
076.txt,cross_chapter,"Katniss mentions 'the silver knee-high boots I stole from the woman's home' as something she forgot about, but earlier in this same chapter, she describes hiding their boots by hanging them around their necks and putting on 'silly shoes' from the woman's apartment. There's no mention of stealing silver knee-high boots specifically for herself—she took shoes to replace their boots, but silver knee-high boots would be conspicuous and impractical for their disguise."
076.txt,coherence,"Katniss claims she 'killed' the unarmed woman whose apartment they took refuge in, but earlier in the chapter it states 'we find she was alone' and there's no description of Katniss killing her. The woman was already dead or they found her alone—the text says 'after searching the apartment, we find she was alone' with no indication Katniss killed her. This appears to be a false memory or guilt-induced delusion rather than an actual event, but it's presented as fact without clarification."
063.txt,emotional,"Katniss's mother is described with 'a disgusted grin' and that 'She really hates to take care of us,' which directly contradicts established characterization. Throughout the series, Mrs. Everdeen is portrayed as a loving, dedicated mother and healer who cares deeply for her daughters. This sudden hostile characterization appears to be an editing error or misinterpretation, as her behavior moments before and after remains consistent with her established character—she's reluctant to leave her daughters, and they share a laugh together. The 'disgusted grin' and hatred claim are unsupported by any other narrative evidence."
063.txt,cross_chapter,"Katniss states 'That was nothing like the bombs in Eight,' referring to her experience in District 8. However, based on previous chapter summaries, Katniss was in District 8 for a propaganda filming where a hospital was bombed during her visit. While she witnessed the aftermath and the bombing run, the summary for Chapter 61 indicates she was extracted after the hospital bombing and tended by Boggs. The phrasing 'the bombs in Eight' suggests direct experience with the explosions themselves, but the summaries indicate she was evacuated after the bombing began. More significantly, she was unconscious or being extracted during the actual bombing, making her comparison of the bunker missile's feel to 'the bombs in Eight' potentially inaccurate—she would have been in a hovercraft or recovering, not experiencing underground bunker-busting missiles from inside a shelter."
023.txt,coherence,"Katniss states that Peeta's ignorance of the nightlock berries killed Foxface, but this contradicts the actual events. Foxface stole the berries from Peeta's collection; she was not present when they were gathered and had no way to know they were poisonous. Peeta's ignorance was a factor in him gathering the berries, but Foxface's death was caused by her own theft and consumption of berries she didn't recognize, not by any direct action or inaction of Peeta's that she could have detected. Katniss's statement 'It was Peeta's own ignorance that brought her down' misleadingly assigns causal responsibility to Peeta when Foxface was an independent agent who stole and ate the berries without their knowledge."
035.txt,cross_chapter,"Katniss refers to 'Clove, the girl from District 2' entering her dreams and transforming into a muttation, but Clove was killed by Thresh in the arena (Chapter 21). The muttations in the arena were created from dead tributes, but Clove was from District 2, not District 1 or any district whose tributes became muttations. More importantly, Katniss never saw Clove as a muttation—she saw Rue, Glimmer, Foxface, and other dead tributes as wolf-like mutts. Clove was killed before the muttations appeared, and Katniss had no reason to associate Clove specifically with the muttation form."
035.txt,cross_chapter,"Katniss states 'They have killed her father in those wretched mines' referring to Prim's father, but Mr. Everdeen died in a mine explosion that Katniss witnessed. However, the phrasing suggests the Capitol actively killed him, when it was a mining accident. More significantly, Katniss says 'They have sat by as she almost starved to death' and 'They have chosen her as a tribute'—but Prim was only chosen as tribute once, in Chapter 1 of the first book, and Katniss volunteered in her place. Prim never actually became a tribute or fought in the Games. The phrasing 'made her watch her sister fight to the death in the Games' is accurate, but the cumulative 'they have' construction implies multiple instances of Capitol harm that mix accurate and inaccurate characterizations of Prim's experience."
080.txt,cross_chapter,"Katniss says 'I start screaming for Gale' and thinks 'A good clean shot to end it all. Only there's no arrow, no bullet. Is it possible he can't see me? No. Above us, on the giant screens placed around the City Circle, everyone can watch the whole thing being played out. He sees, he knows, but he doesn't follow through.' However, according to Chapter 54's summary, Gale was with the rebels on a hovercraft and was the one who revealed District 12 was destroyed. He was not present in the City Circle during Coin's execution. This is confirmed later in this chapter when Haymitch says 'My mother's not coming back' and 'She's helping to start up a hospital in District Four' - but there's no mention of Gale being present, and Katniss only learns where Gale went later from Greasy Sae ('District Two. Got some fancy job there'). Gale was not in the Capitol during the execution."
080.txt,coherence,"Katniss thinks 'Taking my life is the Capitol's privilege. Again.' This implies the Capitol previously prevented her suicide or controlled her death, but there's no established precedent for this in the text. In the first Games, she threatened suicide with Peeta and they were stopped, but that was to force a dual victory, not as a 'privilege' of taking her life. The Capitol has never before explicitly taken her life as a privilege. This seems to be a mischaracterization of past events - the Capitol wanted her alive as a victor and symbol, not dead. The 'again' doesn't properly reference any established pattern."
077.txt,coherence,"The text contains a typo/spelling error: 'explotions' instead of 'explosions', and 'capitol' is lowercase when referring to the city (should be capitalized as 'Capitol' when referring to the city, though 'capitol' is sometimes used for the building). More significantly, 'hitting the building nearer to us' is grammatically awkward and unclear which building is meant."
077.txt,cross_chapter,"Katniss mentions 'the nightlock' and that Gale doesn't have any, but earlier in Chapter 76, Jackson and Leeg One sacrificed themselves at the Meat Grinder, and Finnick was torn apart by mutts—prompting Katniss to detonate the Holo. The nightlock pills were distributed by Plutarch in Chapter 61 ('distributes nightlock suicide pills'), but there's no clear indication Gale ever received one or that they still have them. However, more critically, Gale gives his nightlock tablet to Peeta in this chapter, but earlier in Chapter 76, the squad had redistributed weapons and the Holo was detonated—it's unclear if nightlock pills were part of their supplies that survived. The bigger issue: Katniss says 'Gale doesn't have any' nightlock, but then Gale says 'I'll have Katniss...She won't give them the satisfaction of taking me alive'—implying he expects Katniss to kill him rather than use nightlock, which contradicts the established protocol of suicide pills for capture."
077.txt,coherence,"Katniss realizes Gale was mouthing 'Shoot me' after the fact, but earlier she describes seeing his lips move twice and shaking her head in confusion. However, she had just been thinking about nightlock and how 'no one will be there to help you'—the connection between 'shoot me' and their 'unspoken promise' is only made after reflection, yet she immediately turns and runs without processing this. The timing of her realization ('I fall into a doorway, tears stinging my eyes. Shoot me. That's what he was mouthing') suggests a delayed epiphany that stretches credibility given the urgency."
