Chapter,Error_Original,Error_Modified
002.txt,"[cross_chapter] In Chapter 2, Katniss recalls Peeta's mother hitting him for burning the bread and calling Katniss a 'stuck-up pig.' However, in this chapter, Katniss refers to Peeta's mother as 'his witch of a wife' from the baker's perspective, suggesting the baker's wife is Peeta's mother (which is correct), but the phrasing 'his witch of a wife' implies the baker is married to her. This is consistent, but more importantly, Katniss says 'I feel certain he would never have hit his son the way she did over the burned bread,' confirming the mother hit Peeta. However, there's a subtle inconsistency: in Chapter 2, Katniss recalls the mother saying 'She's a whore, that one' or similar, but here the characterization is slightly different. The more significant issue is that Katniss says 'we always wait to trade with him when his witch of a wife isn't around because he's so much nicer' — this establishes a pattern of trading that wasn't mentioned in Chapter 2's more desperate, one-time encounter.","[cross_chapter] In Chapter 2, Katniss recalls Peeta deliberately burning bread to give to her, which she describes as saving her family from starvation. However, in this chapter, Katniss says 'I had some of your bread this morning. My friend Gale gave you a squirrel for it,' suggesting a normal trade transaction rather than the life-saving gift she previously remembered. She also thinks 'I feel certain he would never have hit his son the way she did over the burned bread,' confirming the burning incident, yet her earlier description of it as a deliberate act of kindness saved her family, while here she frames it as a trade involving Gale."
002.txt,"[coherence] Katniss mentions that Gale will get herbs for her mother and 'will probably not ask for compensation, but they should thank him with some kind of trade, like milk or medicine.' However, she also states 'he and I made a pact about this a year or so ago.' If Gale and Katniss made a pact about him bringing game to her family, it seems odd that she would then need to instruct her family to offer trade for herbs specifically, and that she frames this as something he 'will probably not ask for compensation' for, as if uncertain, when a pact already exists. The pact was specifically about game, not herbs, but the way she brings it up suggests broader uncertainty about compensation that contradicts the established agreement.","[coherence] Katniss states that travel between districts is forbidden except for officially sanctioned duties, and 'for us, that's mainly transporting coal.' However, she also says 'this is no ordinary coal train' and 'I've never been on a train,' which creates a logical tension—if coal transport is the main sanctioned travel and her district is defined by coal mining, it's inconsistent that she has absolutely no experience with trains, not even seeing them or riding in coal transport. More significantly, she says 'I've never been in a car before. Rarely even ridden in wagons,' yet later mentions 'Of course, I've never been on a train,' which emphasizes her complete inexperience with train travel despite coal transport being supposedly common."
003.txt,"[cross_chapter] Katniss says she told her mother she loved her at the Justice Building, but in the previous chapter summary, there is no mention of this exchange. The previous chapter summary states Katniss received emotional goodbyes from Prim, her mother, the baker, Madge, and Gale, but specifically notes she 'yelled at her' mother rather than expressing love. This creates a contradiction between what Katniss claims to have said and what was depicted in the previous chapter.",
004.txt,"[coherence] Katniss says she left her mother's blue dress and shoes on the floor of her train car, but there is no previous mention of her mother wearing or bringing a blue dress and shoes to the reaping or on the train. In Chapter 3, Prim and her mother came to say goodbye at the Justice Building, not on the train, and there was no mention of them boarding or traveling with Katniss on the train.","[coherence] The chapter states that the tributes from District 11 are 'just rolling out' when Cinna sets Katniss and Peeta's capes on fire, immediately before District 12 enters. However, the narrative later describes District 12's entrance as pulling 'the focus from the three chariots ahead of us.' If District 11 is just leaving as District 12 enters, there should only be two chariots ahead of District 12 (Districts 1 and 2), not three. This is a numerical inconsistency in the procession order."
004.txt,"[cross_chapter] Katniss states that Haymitch made them promise to do exactly what their stylists said, but in Chapter 4, Haymitch's actual bargain was that he would help them if they didn't interfere with his drinking and did exactly what he told them to do—not specifically about obeying stylists. The prep team also mentions Haymitch separately about not whining, but the specific promise about stylists was not established.",
004.txt,"[coherence] Katniss notes that it's around noon by the light, but then shortly after describes the sky as overcast and later states that between the overcast sky and evening hour the light is turning grey. The transition from noon to evening happens implausibly fast during what appears to be a single continuous scene of preparation and costume fitting.",
005.txt,"[coherence] Katniss claims she has never seen tributes on the Training Centre roof before, but she has only been in the Capitol for less than two days and has had no opportunity to observe tributes on the roof. This is her first time at the Training Centre, so she couldn't have seen or not seen tributes on this roof previously.","[coherence] Katniss says 'I kick off my shoes and climb under the covers in my clothes' after already having removed her boots earlier and giving them to the Avox girl to return to Cinna. She had also just taken off her shoes before this line, making the action redundant and confusing—she cannot kick off shoes she is no longer wearing, and she had already removed her boots before her shower."
005.txt,"[cross_chapter] Katniss says she received a medal for her father's death at the Justice Building, but in Chapter 4's summary, it describes her father's death in a mine explosion and her learning to hunt afterward, with no mention of any medal ceremony. More importantly, in the original text of The Hunger Games, Katniss's father did not receive a medal (miners' families did not get medals), and this detail appears to be an inconsistency with established canon about District 12's treatment of mining accident victims.",
006.txt,"[cross_chapter] In Chapter 6, Katniss recognized the red-haired Avox server as the girl she saw captured in the woods and told Peeta the full story on the roof. However, in this chapter, Katniss's dreams feature 'the face of the red-headed girl' intertwined with other images, but she does not acknowledge or reflect on having recognized the girl in the previous chapter. More significantly, when she sees the Avox server at breakfast, she does not recognize him as the same person—she describes 'A young man, an Avox' rather than the red-haired girl from Chapter 6. This appears to be a different Avox (a young man vs. a girl), but there is no acknowledgment of the red-haired girl's absence or any explanation for why a different Avox is serving them.",
008.txt,"[cross_chapter] Katniss claims she and Peeta 'abandoned' the 'happy pair' act when Peeta asked for separate coaching, but in Chapter 8's ending, Haymitch only revealed that Peeta asked to be coached separately—there was no explicit abandonment of their public image, and Katniss's internal reaction here suggests a finality that wasn't established. More significantly, Haymitch now insists they 'still' act like a happy pair, which contradicts Katniss's assumption that the separate coaching ended their alliance entirely.",
008.txt,"[coherence] Katniss describes the Avox girl's eyes as 'knowing reproachful eyes that call me a coward, a monster, a puppet of the Capitol, both now and then'—yet the Avox is physically incapable of speech and has shown no prior behavior indicating reproach. Katniss is projecting guilt onto a mute, expressionless servant who has actually shown her kindness (wiping her face, cleaning her wounds, tucking her in). The 'knowing reproach' is entirely in Katniss's imagination and contradicts the girl's actual gentle behavior in this scene.",
