Chapter,Error_Original,Error_Modified
017.txt,"[cross_chapter] Katniss states she has one strip of beef remaining in her supplies, but in Chapter 12 she caught and cooked a rabbit, and there has been no mention of beef in her inventory since the beginning of the Games.","[coherence] Katniss refers to Prim when she means Rue, then immediately corrects herself in her internal narration, which is inconsistent with how internal narration typically works - she wouldn't make this mistake in her own thoughts."
023.txt,,"[coherence] Katniss mentions leaving the rabbit near the sleeping bags at the end of the cave, but this occurs before they have actually walked back to the cave. The text states 'I leave the rabbit near the sleeping bags at the end of the cave, to keep it safe while we prepare the fireplace' while they are still at the stream, before the sentence 'It's a long walk back to the cave, though.'"
027.txt,"[cross_chapter] The chapter states Katniss is sitting on a rock in the woods at dawn dreading the Victory Tour, but according to Chapter 27, the Victory Tour occurs months after the Games. The previous chapter ended with Katniss and Peeta arriving home to District 12 immediately after the Games, making this sudden time jump to months later unexplained and creating a narrative gap.",
028.txt,"[cross_chapter] President Snow claims to know about 'the kiss' between Katniss and Gale, but the chapter establishes this kiss happened weeks after the Games ended, during a Sunday hunting trip. However, Chapter 28 summary states this is the day the Victory Tour begins, and the chapter itself describes Katniss completing her morning hunting routine before finding Snow at her house. The timeline doesn't allow for the post-Games kiss to have occurred yet, as the Victory Tour begins immediately after the tributes return home.",
029.txt,"[cross_chapter] The chapter states this is Katniss's first visit from President Snow before the Victory Tour, but Chapter 29 already described President Snow's visit to Katniss on the morning the Victory Tour begins. This chapter appears to be retelling the same events from Chapter 29 with additional details, creating a contradiction about whether this is a new visit or the same visit.",
035.txt,"[cross_chapter] Katniss refers to Clove attacking her in the arena and transforming into a muttation in her dream, but according to Chapter 21, Clove was killed by Thresh at the feast before the muttations ever appeared. The muttations only appeared in Chapter 25, after Clove was already dead, so Clove could not have become a muttation.","[cross_chapter] Katniss refers to Clove as 'the girl from District 2' in her dream, but in Chapter 21, Clove was explicitly identified by name when she attacked Katniss at the feast. Katniss would know her name, not just her district."
040.txt,,"[cross_chapter] Katniss thinks 'I wrap my arms tightly around his neck, thinking that soon I'll have to say good-bye to Gale. Instead he pulls me in close...' This suggests she hasn't yet said goodbye to Gale, but in the previous chapter (40), she was taken directly to the train without the traditional goodbye period, meaning she already failed to say goodbye to Gale before boarding the train."
056.txt,,"[cross_chapter] Katniss states she is seventeen years old, but in Chapter 1 she was sixteen at the first reaping, and the Quarter Quell (75th Games) occurs only one year after the 74th Games, meaning she should still be sixteen or possibly seventeen depending on when her birthday falls, but this contradicts the established timeline where she turned sixteen just before the first Games."
058.txt,,"[coherence] The text describes a device on a table that 'caughts' (catches) attention and is 'beeping with the rythm of the bird's wings.' This is grammatically incorrect ('caughts' should be 'catches' or 'caught', 'rythm' should be 'rhythm') and creates a logical inconsistency - a device cannot beep in rhythm with hummingbird wings that beat 60-80 times per second, as this would be an impossibly fast beeping sound indistinguishable from a continuous tone."
061.txt,,"[coherence] Finnick is described as lying down on his bed while watching television with Katniss, but Katniss is in a hospital bed and Finnick brings his tray to her bed to watch together, suggesting they should be in the same location (her bed area), not separate beds."
063.txt,,"[emotional] Katniss's mother is characterized as hating to take care of her daughters, which contradicts her established character as a devoted healer and mother who has been caring for them throughout the series."
