Chapter,Error_Original,Error_Modified
003.txt,,"[emotional] Katniss decides to have as little as possible to do with Peeta, yet she is surprised by the hardness in his eyes and continues to interact with him."
005.txt,"[coherence] Effie Trinket incorrectly states that coal turns to pearls, which is factually incorrect and should be diamonds.","[coherence] Effie Trinket mistakenly says 'if you put enough pressure on coal it turns to pearls,' which is factually incorrect as coal does not turn into pearls."
006.txt,[emotional] Katniss's reaction to Peeta's compliment seems inconsistent with her earlier reflections on his kindness and their shared history.,
008.txt,"[emotional] Katniss expresses strong emotions of betrayal and relief about Peeta's actions, which seems inconsistent with her previous understanding of their relationship as strategic.","[emotional] Katniss expresses a strong sense of betrayal towards Peeta, which seems inconsistent with her earlier acknowledgment that there was no trust between them."
011.txt,[cross_chapter] Katniss's reaction to Peeta's alliance with the Careers seems overly surprised given that she realized Peeta was with them at the end of Chapter 11.,[emotional] Katniss's intense desire for Peeta's death seems inconsistent with her previous complex feelings towards him.
015.txt,"[cross_chapter] The chapter mentions that there are nine tributes left, but the previous chapter summaries suggest there should be fewer due to multiple deaths.","[cross_chapter] The chapter mentions a boy from District 10 with a bad leg, but previous summaries do not mention this character or his injury."
026.txt,"[cross_chapter] The chapter mentions Katniss being surprised by Peeta's new leg, but in previous chapters, it was implied that she was aware of his severe injuries.",[cross_chapter] Inconsistency regarding Peeta's leg injury and Katniss's awareness of it.
027.txt,"[cross_chapter] The chapter mentions Katniss's new house in the Victor's Village, but previous summaries do not indicate when she moved there.","[cross_chapter] Katniss reflects on the Victory Tour and her relationship with Peeta, but there is no mention of the rule change allowing two tributes to win, which was a significant event in Chapter 25."
028.txt,,"[cross_chapter] The chapter implies that Katniss and Peeta's relationship was cool and distant after the Games, which contradicts previous summaries indicating they maintained a romantic narrative for survival."
029.txt,[cross_chapter] Inconsistency regarding Katniss's age and future plans with Peeta.,[cross_chapter] Inconsistency in the timeline of Katniss's relationship with Peeta and the Capitol's expectations.
031.txt,[cross_chapter] Inconsistency regarding Peeta's knowledge of Katniss's actions and the Capitol's expectations.,[cross_chapter] Inconsistency regarding Peeta's knowledge of Haymitch's strategy and gifts during the Games.
032.txt,"[cross_chapter] The chapter mentions Katniss and Peeta's engagement, but previous summaries do not indicate when or how this engagement was publicly announced.","[cross_chapter] The chapter mentions Katniss and Peeta's engagement, but previous summaries do not indicate when this engagement was publicly announced or agreed upon."
033.txt,"[cross_chapter] Gale's reaction to the uprising in District 8 seems inconsistent with his previous knowledge of the Capitol's control and the potential for rebellion, as he is portrayed as someone who already understands the Capitol's oppression.",[cross_chapter] Gale's reaction to Katniss's engagement to Peeta seems inconsistent with previous chapters where the engagement was already known.
034.txt,"[cross_chapter] Inconsistency regarding the relationship between Katniss and Gale, as previous chapters suggest a complex relationship with Peeta, yet this chapter strongly emphasizes Katniss's feelings for Gale.","[cross_chapter] Inconsistency regarding the relationship between Katniss and Gale, as previous chapters suggest a complex relationship with Peeta due to the Capitol's demands."
035.txt,"[cross_chapter] The chapter mentions Clove from District 2 entering Katniss's dreams, but Clove was killed in the previous Hunger Games, making her appearance in a dream seem inconsistent with the current timeline.","[cross_chapter] Inconsistency regarding the presence of Clove, who was killed in the previous Hunger Games."
036.txt,,[cross_chapter] Katniss's reaction to the mockingjay symbol seems inconsistent with its established significance in previous chapters.
037.txt,"[cross_chapter] The chapter implies that Katniss is surprised by the electrified fence being on, but previous chapters suggest she should be aware of the increased security measures.","[cross_chapter] The chapter suggests Katniss is surprised by the electrified fence being on, but previous chapters indicate she is aware of increased security measures."
038.txt,"[cross_chapter] The chapter suggests Katniss is surprised by the Quarter Quell announcement, but previous chapters indicate she should be aware of the significance of the Quarter Quell.",
