Chunk,Chapter,Error Type,Error description,Error sentence
11,001.txt,Basic Coherence,"Dudley's reaction doesn't fit to be pale green since he is not sick, but angry.","“All right, thirty-seven then,” said Dudley, going pale green in the face."
5,002.txt,Basic Coherence,"Bubble and squeak is a dish of vegetables and eggs, yellow and green.",His face went from red to green faster than a set of traffic lights. And it didn’t stop there. Within seconds it was the grayish white of bubble and squeak.
3,005.txt,Emotional Relations,"The Dursleys hate harry, thay would not treat him so good.","“Have a good term my boy,” said Uncle Vernon with a warm and sad smile. He left without another word. Harry turned and saw the Dursleys drive away. All three of them looked very sad."
6,007.txt,Location correctness,Harry cannot reach his dormitory from the dungeon of the castle.,"Harry also reached for his books and quill on his trunk in the dormitory and, in his hurry, spilled a bit of ink over his clothes. "
4,011.txt,Causality,Harry finds a door which could affect the story but never appears again,"On his way upstairs, he noticed a small door with a golden F painted on it. “Was that there this morning?” he thought to himself, and the question kept him up almost all night. "
7,012.txt,Temporal Order,Hermione could not fret about it in her mind during the trip if she didn't know ,"Hermione, who came back the day before term started, took a different view of things. She was torn between horror at the idea of Harry being out of bed, roaming the school three nights in a row without telling her, something she was already fretting about in her mind during the trip back (“If Filch had caught you!”), and disappointment that he hadn’t at least found out who Nicolas Flamel was."
14,014.txt,Emotional Relations,"Neville would never try to get them a detention or a punishment, he is their friend.","I knew you were up to something, I heard Draco saying something about you and I just couldn't stand there doing nothing, I had to tell McGonagall so that you can have the punishment you deserve,"
10,020.txt,Emotional Relations,"Ginny would defend Harry, in the original sentence she does.","“Yeah, is a bit annoying to be around him when he does this,” said Ginny."
8,025.txt,Causality,Professor Binns says that the chamber must be opened at a specific day and is never mentioned again,"The heir alone would be able to unseal the Chamber of Secrets at exactly the moment it had first been sealed long ago, unleashing finally the horror within, and use it to purge the school of all who were unworthy to study magic."
1,026.txt,Location correctness,She cannot take an stethoscope from her desk if she is not in her office.,"She drew her wand from her pocket and a stethoscope from her desk, pressing it to the rigid figure in the bed—then inhaled sharply."
2,027.txt,Temporal Order,"Harry already got into the stall, in the original sentence just locks it again.","“We’d’ve come to meet you, but we decided to get started on the Polyjuice Potion,” Ron explained as Harry, with difficulty, unlocked the stall again to get in."
12,035.txt,Causality,The sneakoscope starts flashing a light and beeping without reason and without it being explained before,"Bye – Ron Harry put the Pocket Sneakoscope on his bedside table, where it stood quite still, balanced on its point, reflecting the luminous hands of his clock and flashing little rays of red light accompanied by a soft but insisting sound. "
9,045.txt,Location correctness,"Trelawney came from the astronomy tower, not the dungeons. ","She looked a bit suffocated while she roamed the hall, muttering about the excess of stairs in the dungeons she'd climbed on her way up."
13,049.txt,Basic Coherence,"The whole paragraph always describes things as ""in shadows"" and etc. no sense being in the roof.","Together they climbed the ladder into the clear, chilly tower roof. Glowing on every little table was a crystal ball full of pearly white mist."
0,055.txt,Temporal Order,"Buckbeak is then later described as laying down, so he cannot stretch up if he is not down yet.","‘Shh, Fang, it’s us!’ said Hermione, hurrying over and scratching his ears to quieten him, while Buckbeak stretched up to get some scratches too."
