Chapter,Category,Description
035.txt,cross_chapter,"The chapter states Harry has spent 'most of the last two years at Hogwarts School of Witchcraft and Wizardry' and is turning thirteen. However, based on the previous chapter summaries, Harry has only attended Hogwarts for one year (Year 1: Sorcerer's Stone). He is currently starting his second year, meaning he has only spent one year at the school, not two."
045.txt,cross_chapter,"In Chapter 44, Harry's Nimbus Two Thousand is destroyed during a Quidditch match against Hufflepuff. However, in this chapter, Harry is seen examining the Firebolt and using a 'Broomstick Servicing Kit Hermione had given him for his birthday' to try and fix it, implying he still possesses or is maintaining the Nimbus, which contradicts its prior destruction."
001.txt,coherence,"The text contains a contradiction regarding the snake's origin. It first states the snake was bred in the zoo, then immediately has the snake shake its head 'no' to the question of whether it has been to Brazil, implying it is not from Brazil, which contradicts the sign stating it was bred in the zoo (and thus not from Brazil)."
049.txt,cross_chapter,"In the previous chapter (Chapter 49), Harry, Ron, and Hermione sneak into Hogsmeade using the Invisibility Cloak and Marauder's Map. In this chapter, the text states that 'The safety measures imposed on the students since Black’s second break-in made it impossible for Harry, Ron and Hermione to go and visit Hagrid in the evenings.' This contradicts the established fact that they were able to leave the castle grounds and visit Hagrid (who lives in a cabin near the grounds/Hogsmeade area) in the previous chapter, implying the security measures were not yet in place or were not absolute barriers to leaving the castle at that time."
026.txt,cross_chapter,"In the previous chapter (Chapter 26 summary), it is stated that Harry, Ron, and Hermione decide to use Polyjuice Potion to infiltrate Slytherin house and interrogate Draco Malfoy. However, in this chapter, Hermione claims she needs the book 'Moste Potente Potions' for 'background reading' to understand 'slow-acting venoms' mentioned in Lockhart's book 'Gadding with Ghouls'. This contradicts the established intent to use the potion for infiltration and interrogation, as the stated reason is fabricated and inconsistent with their actual goal."
025.txt,coherence,"Professor Binns addresses Hermione as 'Miss Grant' instead of 'Miss Granger', which is a name inconsistency."
007.txt,coherence,"The text contains a duplicated and garbled sentence fragment regarding Snape's ability to silence the class, repeating 'caught every word' and 'like Professor McGonagall' in a nonsensical manner."
007.txt,coherence,"The text contains a typo where 'sit' is used instead of 'Sir' when Harry addresses Snape, which is inconsistent with the established formal address used by students in the wizarding world."
005.txt,coherence,The text contains a typo where the character's name is misspelled as 'Scabbets' instead of 'Scabbers' during the confrontation with Malfoy's group.
012.txt,cross_chapter,"In Chapter 11, Harry's broomstick malfunctions due to a jinx cast by Snape, which is neutralized by Hermione. In this chapter, there is no mention of the broomstick being repaired or replaced, yet Harry uses the same Nimbus Two Thousand for the match against Hufflepuff without any explanation of how it was fixed after the previous incident."
014.txt,cross_chapter,"In Chapter 12, Harry receives the invisibility cloak from an anonymous sender (Dumbledore) and uses it to sneak into the Restricted Section and see the Mirror of Erised. In this chapter, Harry and his friends forget the cloak when sneaking out at night to see Norbert, leading to their capture. This contradicts the previous chapter where they were actively using the cloak for secret activities."
011.txt,coherence,"The text contains a typo where 'A' is used instead of 'it' in the phrase 'after A', which breaks the logical flow of the sentence regarding the duration of their search."
027.txt,cross_chapter,"The chapter summary for Chapter 27 states that Harry had his bones removed by an incompetent Lockhart. However, the current chapter text explicitly states that Harry woke up with his arm 'reboned' and Madam Pomfrey confirmed it was 'All in order,' indicating the bones were already healed/replaced before the events of this chapter began. This contradicts the previous chapter's summary which implies the injury was still active or the procedure hadn't happened yet."
055.txt,coherence,"Hermione states that the Time-Turner was given to her on the first day back at school, but in Chapter 40, it is established that she received it from Professor McGonagall on the first day of the term (September 1st), not the 'first day back' which would imply the start of the second term or a return after a break."
020.txt,coherence,"Ginny Weasley speaks in front of Harry for the first time, but the text states this is the first time she has spoken in front of him, despite them having lived together in the same house for several weeks prior."
