Chapter,Error_Original,Error_Modified
000.txt,"[coherence] Dumbledore says he has a scar above his left knee that is a perfect map of the London Underground, but this is a logical impossibility - a scar cannot be a 'perfect map' of something as complex as the Underground system.",
005.txt,,"[emotional] Uncle Vernon's behavior is inconsistent - he shows warm, sad emotions when leaving Harry at the station, which contradicts his established character and the fact that he and the Dursleys have been treating Harry with cold silence and half-terrified, half-furious behavior throughout the month."
007.txt,"[coherence] Harry says he doesn't know the answer and addresses Snape as 'sit' instead of 'sir' - this appears twice and seems to be a typo rather than intentional dialogue, breaking the narrative's internal consistency","[location] Harry reaches for his books and quill on his trunk in the dormitory, but he is currently in the Potions classroom in the dungeons, not in his dormitory."
009.txt,"[coherence] The text states the package from Gringotts was 'about two inches long,' but in Chapter 5, Hagrid retrieved a 'small package' that was described as 'grubby' and wrapped in brown paper. While 'small' is vague, two inches would be extremely tiny and inconsistent with how packages are typically described in the narrative context.","[coherence] The narrative states Harry locked the troll in the bathroom, then immediately describes them hearing a scream from the chamber they'd 'just chained up,' but they used a key to lock it, not chains. More critically, they locked the door before knowing Hermione was inside, yet the text says 'it was coming from the chamber they'd just chained up' as if they already knew which room it was."
010.txt,,"[coherence] The text states 'Hermlone' instead of 'Hermione', which is a spelling error that breaks narrative consistency with the character's established name."
010.txt,,"[coherence] The text states 'She had also tent him Quidditch Through the Ages' where 'tent' should be 'lent', creating a nonsensical sentence."
011.txt,,"[coherence] Harry notices a door with a golden F on it on Christmas Eve, which keeps him up almost all night, but this detail is never explained or referenced again in the chapter. The door appears to be unrelated to any plot element and its sudden introduction and abandonment creates a narrative inconsistency."
012.txt,"[cross_chapter] The chapter states Hermione gave Harry a box of Chocolate Frogs for Christmas, but Chapter 12 does not mention Hermione giving Harry any gift, only that Harry received presents including the invisibility cloak, sweets from the Dursleys, a wooden flute from Hagrid, and a hand-knitted sweater and fudge from Mrs. Weasley.","[coherence] Snape is described as being on a broomstick in the air during the Quidditch match, but he is refereeing the match on the ground. Referees do not fly during matches in the established Quidditch rules."
014.txt,,"[emotional] Neville's motivation and dialogue are contradictory. He says he heard Draco talking about Harry and wanted Harry to get the punishment he deserves, which suggests hostility, but the narrative then describes him as trying to warn them and being hurt when he thinks they don't believe him. This contradicts his stated intention of wanting them punished."
015.txt,"[coherence] The text refers to the 'Sorcerer's tone' instead of 'Sorcerer's Stone', which appears to be a typographical error rather than intentional dialogue.","[coherence] The text refers to the 'Sorcerer's tone' instead of 'Sorcerer's Stone', which appears to be a typographical error rather than intentional dialogue."
019.txt,"[coherence] Mrs. Weasley tells Ron and Fred to go to bed, but Fred was already mentioned as one of the twins who flew the car. The text should say 'Ron and George' since Fred and George are the twins, not Ron and Fred.","[coherence] Mrs. Weasley tells Ron and Fred to de-gnome the garden, but then later tells Ron and George (not Fred) they can go to bed, creating confusion about which brothers are being addressed for which task."
019.txt,"[cross_chapter] Harry is described as having his first-ever letter in Chapter 3, but this chapter states Ron has asked Harry to stay 'about twelve times' via letters, which contradicts the earlier establishment that Harry had never received mail before his Hogwarts letter.",
020.txt,,"[emotional] Ginny's dialogue is out of character - she has been established as extremely shy around Harry, unable to speak in his presence, yet here she suddenly speaks confidently and sarcastically to Malfoy in front of Harry"
025.txt,[cross_chapter] Professor Binns calls Hermione 'Miss Grant' instead of 'Miss Granger' after she has already introduced herself correctly. This is inconsistent with the fact that he just acknowledged her as 'Miss Granger' moments earlier.,"[coherence] Professor Binns calls Hermione 'Miss Grant' instead of 'Miss Granger' after she has already introduced herself as 'Granger, Professor' moments earlier in the same conversation."
025.txt,"[coherence] Professor Binns calls Seamus Finnigan 'O'Flaherty' when responding to his question, which is not his name and appears to be an error rather than the professor being confused about student names in a consistent way.","[coherence] Professor Binns calls Seamus Finnigan 'O'Flaherty' when responding to his question, which is not his name."
027.txt,"[coherence] Harry's wand is described as being in his pocket during Potions class, but he then pulls out a Filibuster firework from his pocket and uses his wand to activate it, suggesting he had both items ready simultaneously in a way that seems inconsistent with the narrative flow.","[coherence] Harry unlocks the stall to get in, but he's already inside the stall according to the previous sentence"
027.txt,"[coherence] The text contains a typo where 'Hrry' appears instead of 'Harry', breaking narrative consistency.",[coherence] The text states 'Hrry and Malfoy barely inclined their heads' which appears to be a typo for 'Harry'
035.txt,"[cross_chapter] Harry states he has spent 'most of the last two years at Hogwarts,' but based on previous chapter summaries, Harry has only completed his first year at Hogwarts and is currently in the summer before his second year. He should have spent only one year at Hogwarts, not two.","[coherence] The Pocket Sneakoscope is described as standing still and balanced on its point while simultaneously flashing red light and making a soft insistent sound, which contradicts Ron's note stating it should 'light up and spin' when someone untrustworthy is around. If it's lighting up and making sound, it should be spinning, not standing 'quite still.'"
037.txt,,"[cross_chapter] Harry states that Hedwig is gone and he has no means of contacting Ron and Hermione, but in the previous chapter summary (Chapter 37), there is no mention of Hedwig being lost or left behind when Harry fled Privet Drive. The chapter text shows Harry dragging his trunk but doesn't explain what happened to Hedwig."
040.txt,"[cross_chapter] Hermione claims she hasn't been to an Arithmancy class yet, but earlier in the chapter she says 'That lesson was absolute rubbish compared to my Arithmancy class!' indicating she has already attended one.","[cross_chapter] Hermione claims she hasn't been to an Arithmancy class yet, but earlier in the same chapter she says 'That lesson was absolute rubbish compared to my Arithmancy class!' indicating she has already attended one."
045.txt,,"[coherence] Professor Trelawney's description contains an inconsistency. The text states she 'looked a bit suffocated while she roamed the hall, muttering about the excess of stairs in the dungeons she'd climbed on her way up.' This is logically impossible - dungeons are below ground level, so one would climb stairs going up FROM the dungeons, not climb stairs IN the dungeons. Additionally, Trelawney's tower classroom is at the top of the castle, so she would be coming DOWN to the Great Hall, not climbing up from dungeons."
049.txt,"[cross_chapter] Hermione is described as having missed Charms class and being asleep in the common room when she should have been with Harry and Ron. However, the text states 'You were with us till we were right outside the classroom!' This creates a temporal impossibility - she cannot have been with them outside the classroom and simultaneously already asleep in the common room having missed the class.","[cross_chapter] Ron says he forgot to be horrible to Crookshanks while working on Buckbeak's appeal, but in the previous chapter (Chapter 49), Ron was still angry at Hermione and believed Crookshanks killed Scabbers. The text states Ron 'even forgot to be horrible to Crookshanks' during the Easter holidays, but there's no indication Ron's anger toward the cat had resolved before this point."
055.txt,,"[coherence] Buckbeak is described as stretching up to get scratches from Hermione, but hippogriffs are large creatures and the action doesn't make logical sense in the context - it should be bending down or Hermione reaching up."
