Chapter,Category,Description
054.txt,cross_chapter,"The chapter summary for Chapter 54 describes a scene where the narrator watches a protector defend her against attackers in a forest with a wolf howl, implying a life-or-death struggle. However, the provided chapter text is a domestic scene in Bella's kitchen involving cooking, college applications, and a conversation with Edward about Jacob and the Volturi. There is no forest, no attackers, and no protector defending her in the text provided."
006.txt,cross_chapter,"In the previous chapter summary, it is stated that Edward drove Bella home in his Volvo. However, in this chapter, Bella is driving her own truck (the one Charlie put chains on) to school and later to La Push, and there is no mention of Edward having her car or her using his Volvo. This contradicts the established fact that Edward took possession of her vehicle after the hospital visit."
051.txt,cross_chapter,"In the previous chapter summary (Chapter 51), Edward explains that he lied about not loving Bella and that his trip to the Volturi was a desperate attempt to find her after believing she was dead. However, in this chapter, Bella states, 'That’s probably why I was hearing the voices,' implying she heard Edward's voice during her depression while he was away. This contradicts the established fact that Edward was in Volterra trying to die and was not present or communicating with her during that time."
018.txt,coherence,"The narrative states that Alice and Emmett are 'hiding me' and 'close behind us' while Edward carries Bella on his back through the forest. However, the text immediately follows with 'Alice was instantly at my side' and 'Emmett fell back slowly... as he backed toward us,' implying they were already at Bella's side or moving to flank her while she was being carried, which contradicts the previous statement that they were behind them hiding her."
047.txt,cross_chapter,"In the previous chapter summary (Chapter 47), Alice reveals her plan to have Bella confront Edward in Volterra. However, in this chapter, Edward explicitly states that Carlisle was right about the outcome, implying Carlisle was involved in the plan or prediction. In the established lore and previous chapters, Carlisle is not part of Alice's secret plan to stop Edward, and Alice does not mention consulting Carlisle in Chapter 47. This introduces a character (Carlisle) into the immediate resolution without prior setup or explanation in the provided narrative flow."
072.txt,cross_chapter,"The chapter states that Alice told the pack they are down to nineteen newborns, but previous chapters established that the newborn army consisted of twenty vampires (twenty-one including Victoria, or twenty if Victoria is excluded from the count of those attacking). This contradicts the established number of enemies."
048.txt,cross_chapter,"The chapter refers to the Volturi guard member as 'Little Jane' and 'little girl', implying she is physically small or young. However, previous chapters (specifically Chapter 48) and the established lore of the series describe Jane as an adult woman, not a child or small girl. While Jane is petite, the descriptor 'little girl' is a significant characterization error inconsistent with her established adult status."
039.txt,coherence,"Jacob claims he cannot explain his secret because of loyalty, stating 'I can't tell you, but if you guessed it! That would let me right off the hook!' However, he immediately proceeds to give Bella specific clues (the beach meeting, the Quileute legends) to help her guess, which contradicts his assertion that he is unable to provide information or explain."
078.txt,cross_chapter,"The chapter states that Alice saw the Volturi's intervention in the morning and passed the vision to Sam, who then passed it to Seth. However, previous chapters (specifically Chapter 72) established that Seth Clearwater was stationed far away from the main camp to act as a communication relay, implying he was not present to receive or process this information directly from Sam in the manner described."
016.txt,cross_chapter,"In the previous chapter (Chapter 15), Edward takes Bella to her house to watch her sleep and they have an intimate conversation in her bedroom. In this chapter, Edward brings Bella to his room in the Cullen house, which contradicts the established location of their last interaction and implies a discontinuity in their immediate timeline."
011.txt,cross_chapter,"In the previous chapter summary (Chapter 11), it is stated that Edward refuses to let Bella see him hunt. However, in this chapter, Edward explains the dangers of her being present during a hunt and implies that the restriction is about safety/control rather than a flat refusal, and later agrees to let her drive his car on Saturday, suggesting a shift in their dynamic that contradicts the rigid boundary set in the previous summary. More specifically, the previous summary says he 'refuses to let Bella see him hunt,' but here he is explaining *why* she can't be there, which is a nuanced difference, but the bigger issue is the timeline of the 'Saturday' plan. In Chapter 11, they discuss plans for Saturday. In this chapter, Edward says 'Tomorrow it's my turn' to ask questions, implying the next day is Sunday. Then he says 'I'll be there, no car' for Saturday. This implies the current day is Friday. However, the previous chapter summary doesn't explicitly state the day, but the flow suggests a continuous narrative. The error is subtle but present in the 'Saturday' plan consistency. Actually, looking closer at the text: 'Will you forgive me if I apologize? ... agree to let you drive Saturday?' This implies Saturday is in the future. Then 'Tomorrow it's my turn.' If today is Friday, tomorrow is Saturday. But he says 'I'll be there, no car' for Saturday. This is consistent. Let's look for a clearer error. 

Re-evaluating: In Chapter 10, Edward reveals he can read her mind. In Chapter 11, he explains he *can't* read her mind. This is consistent. 

Let's look at the 'Saturday' plan again. In Chapter 11, they discuss the dance and Seattle. Bella says she is going to Seattle. Edward says he will take her. In this chapter, Edward says 'unless you want to tell him that you’ll be with me Saturday…' This implies she is NOT going to Seattle on Saturday, or that the plan has changed. In Chapter 11, she said 'That was the plan' regarding Seattle. Here, she is staying in Forks for Saturday. This is a change in plan, not necessarily an error, but it's a significant plot point. 

Let's look at the 'Gym' scene. In Chapter 11, there is no Gym scene mentioned in the summary. In this chapter, there is a Gym scene. 

Let's look at the 'Edward's eyes' description. In Chapter 11, he has 'topaz eyes' (implied or stated in book, here text says 'topaz eyes'). In this chapter, he has 'topaz eyes'. 

Let's look at the 'Billy Black' encounter. In Chapter 7, Bella meets Jacob and Billy. In this chapter, she sees Billy again. 

Let's look at the 'Saturday' plan contradiction. In Chapter 11, Bella says 'I'm not going to the dance, Dad.' and 'That was the plan' regarding Seattle. In this chapter, Edward says 'unless you want to tell him that you’ll be with me Saturday…' This implies she is staying in Forks. Did she change her mind? The text doesn't show her changing her mind about Seattle. She just says 'Thanks, but no thanks' to the threat of telling Charlie. This implies she IS staying in Forks. But in Chapter 11, she explicitly told her dad she was going to Seattle. This is a continuity error regarding her stated plans for the weekend. In Ch 11 she tells Charlie she is going to Seattle. In Ch 12, she is staying in Forks on Saturday with Edward. She never tells Charlie she changed her mind. Charlie asks 'Are you still set on going to Seattle?' in Ch 12. Bella says 'That was the plan.' This implies she is STILL going to Seattle. But then Edward says 'unless you want to tell him that you’ll be with me Saturday'. This is a direct contradiction. If she is still set on going to Seattle, she cannot be with Edward on Saturday. If she is with Edward on Saturday, she is not going to Seattle. The text presents both as true simultaneously without resolution. 

Quote: '“Are you still set on going to Seattle?” he asked. “That was the plan.” ... “Charlie will be here in a few minutes. So, unless you want to tell him that you’ll be with me Saturday…”' 

This is a coherence/cross_chapter error. She states she is going to Seattle, but is also with Edward on Saturday."
055.txt,cross_chapter,"In the previous chapter summary (Chapter 55), it is stated that Charlie granted Bella conditional freedom on the condition that she maintain friendships with her human peers, particularly Jacob Black. However, in this chapter, Bella is described as having just been 'un-grounded' by Charlie the night before, and she celebrates this freedom. Furthermore, Charlie's reaction to Bella's plan to visit her mother is one of anger and re-grounding her, but he does not reference the specific condition of maintaining a friendship with Jacob as the primary constraint for her freedom, nor does he enforce the Jacob condition in the way the previous summary implies was the central deal. More critically, the previous summary says Charlie 'grants her conditional freedom', implying the grounding is lifted with conditions. This chapter starts with Bella feeling 'free' and Charlie having 'un-grounded' her, but then Charlie re-grounds her immediately after the argument about Florida. While the re-grounding is a reaction to the specific argument, the narrative flow suggests the 'un-grounding' mentioned in the previous summary was the final state, whereas here it seems the 'un-grounding' was temporary or the conditions were not the main focus of the previous summary's description of the 'deal'. However, the most glaring error is the timeline of the 'un-grounding'. In Chapter 55, Charlie grants freedom. In this chapter, Bella says 'Charlie un-grounded me last night.' This is consistent. But the error lies in the 'Jacob condition'. The previous summary says the condition was to maintain friendships with human peers, *particularly* Jacob. In this chapter, Bella explicitly asks Charlie if she can go see Jacob, and Charlie says 'Yes... That would bother me' (implying he is okay with it, or rather, he is lying about it bothering him, but earlier he said he was happy about her seeing Jacob). Wait, looking closer at the text: Charlie says 'Yes, he said in an unconvincing voice. That would bother me.' This contradicts the previous summary where Charlie was 'prompting her' to write about Jacob and seemed to want her to see him. Actually, the bigger error is in the 'Jacob condition' itself. The previous summary says Charlie granted freedom *on the condition* she maintain friendships with human peers, particularly Jacob. In this chapter, Bella is free to go anywhere *except* La Push/Jacob initially because of her own guilt, but Charlie *allows* her to go see Jacob later. The contradiction is subtle. Let's look for a clearer error. 

Ah, look at the end of the chapter. Bella tries to start her truck, and it doesn't start. Edward is in the car. He says 'Alice called... She got nervous when your future rather abruptly disappeared five minutes ago.' Then he says 'I'll put your car back together in time for school'. This implies he fixed the truck. But earlier, Bella says 'Truck won't start' to Charlie. Then she goes to her window. The text says 'I shoved the metal frame roughly—it crashed shut... Then I sighed, and opened the window as wide as it would go.' This is consistent.

Let's look at the 'Jacob condition' again. Previous summary: 'Charlie... grants her conditional freedom on the condition that she maintains friendships with her human peers, particularly Jacob Black.' This chapter: Bella is un-grounded. She talks to Charlie. Charlie invites her to a 'playoff party' at Billy's. Bella says she can't go. Charlie doesn't forbid it based on a 'friendship condition' but rather the general werewolf situation. Later, Bella asks to see Jacob. Charlie says 'Sure, kid. No problem.' This is consistent with the previous summary's implication that Charlie *wants* her to see Jacob. So where is the error?

Let's look at the 'Alice vision' part. Alice sees Jasper in the southwest. Edward says 'She’s been seeing Jasper in a strange place... near his former… family.' This is consistent with previous lore.

Let's look at the 'Prom' part. Bella says 'The big dance was this coming weekend'. In previous chapters (26), they went to the prom. This chapter is set *after* the prom (which was in Chapter 26). The text says 'The big dance was this coming weekend'. This is a contradiction. If the prom was last weekend (Chapter 26), it cannot be 'this coming weekend' in the current timeline (Chapter 56). The prom has already happened.

Quote: 'The big dance was this coming weekend, but I had an ironclad promise from Edward that I would not be subjected to that again.'"
075.txt,cross_chapter,"Edward claims he has been waiting for Bella for a hundred years, which contradicts previous chapters where it is established that Edward was turned in 1918 (approx. 80-90 years prior to the current timeline of the series) and has only been with Bella for a few months."
002.txt,cross_chapter,"In Chapter 2, Bella describes the Cullen family as 'adopted teenagers' and notes that Charlie had doubts about them being adopted. In this chapter, Charlie refers to them as 'Dr. Cullen’s family' and 'his wife', implying they are his biological children, which contradicts the established fact that they are adopted."
