Chapter,Error_Original,Error_Modified
000.txt,"[coherence] Josh is described as being outside with Petey, but Amanda sees a boy inside the house and initially thinks it's Josh.",[coherence] Josh and Petey's sudden disappearance is unexplained and contradicts the previous scene where Josh insists on staying outside with Petey.
002.txt,"[cross_chapter] Inconsistency regarding the location of Josh and Petey. In the previous chapter summary, Amanda finds Josh in a cemetery, but in this chapter, it seems they are already together and chasing Petey.","[cross_chapter] Contradiction regarding the family's arrival at the new house. In Chapter 1, the family is described as having already arrived at the new house, but in this chapter, they are depicted as arriving again."
003.txt,"[cross_chapter] In previous summaries, Amanda's brother Josh was found in a cemetery, but in this chapter, he is with Dad in the house, which contradicts the previous chapter's implication that he was missing.","[cross_chapter] The chapter suggests Amanda's family just moved into the house, but previous summaries indicate they have already arrived and explored the house."
005.txt,"[coherence] The curtains are described as billowing despite the window being closed, which is logically inconsistent.","[cross_chapter] The chapter mentions Amanda's family moving into the house and arranging furniture, which contradicts the previous chapter summaries where they have already moved in."
006.txt,[cross_chapter] Amanda's mother dismisses her concerns about the curtains blowing despite Amanda having previously experienced strange occurrences in the house.,"[cross_chapter] Amanda's brother Josh was previously found in a cemetery in Chapter 2, but there is no mention of how he returned home."
007.txt,,"[cross_chapter] Contradiction regarding the mysterious boy seen by Amanda. In previous chapters, Amanda sees a mysterious boy in the window and on the stairs, but in this chapter, she sees a girl on the landing."
008.txt,"[cross_chapter] Contradiction regarding the boy Amanda sees. In Chapter 4, Amanda sees a boy in the window, but it is not clear if this is the same boy she meets in this chapter.","[cross_chapter] Contradiction regarding the boy Amanda saw in her room. In previous chapters, Amanda saw a mysterious boy in the window, but it was not confirmed that it was Ray."
009.txt,"[cross_chapter] Karen Somerset claims to have lived in Amanda's house, which contradicts the previous chapter summaries where the house was inherited from a great-uncle.",[cross_chapter] Contradiction regarding who used to live in Amanda's house.
010.txt,"[cross_chapter] The chapter mentions Amanda and Josh getting used to their new house and friends, but previous summaries indicate they are still unsettled and experiencing strange occurrences.",[cross_chapter] Contradiction regarding the family's awareness of Petey's behavior and location.
011.txt,"[cross_chapter] The chapter suggests that Ray is a ghost, but previous chapters did not establish any supernatural elements or that Ray was deceased.","[cross_chapter] Ray is revealed to be dead with a gravestone, but he was previously interacting with Amanda and Josh as a living person."
012.txt,"[cross_chapter] Ray is revealed to be dead in this chapter, but in previous chapters, he interacted with Amanda and Josh as if he were alive.","[cross_chapter] Ray is revealed to be dead, contradicting previous chapters where he interacts with Amanda and Josh as if he were alive."
013.txt,"[cross_chapter] Karen Somerset is mentioned as if she is dead, but in previous chapters, she was introduced as a living character.","[cross_chapter] Karen Somerset is introduced as a new character in this chapter, but she was already mentioned in Chapter 10 as someone Amanda met and interacted with."
014.txt,"[cross_chapter] Mr. Dawes is revealed to be dead, contradicting previous chapters where he interacted with the family as a living person.","[cross_chapter] Mr. Dawes is revealed to be dead, contradicting previous chapters where he interacted with the family as a living person."
015.txt,"[cross_chapter] Inconsistency regarding Mr. Dawes' status as a living dead. In the previous chapter, Amanda and Josh already realized Mr. Dawes was dead when they saw his gravestone.","[cross_chapter] Mr. Dawes was previously portrayed as helping Amanda and Josh escape, but is now revealed to be one of the living dead and a threat to them."
016.txt,[cross_chapter] Inconsistency regarding Mr. Dawes' status as dead or alive.,"[cross_chapter] Inconsistency regarding the presence of Mr. Dawes, who was revealed to be dead in the previous chapter."
017.txt,"[cross_chapter] The chapter describes Amanda and Josh's parents being tied back-to-back in the amphitheater, but previous chapters did not mention their capture or presence there.","[cross_chapter] The chapter describes Amanda and Josh's parents as being tied back-to-back in the amphitheater, but previous summaries do not mention their capture or presence there."
018.txt,"[cross_chapter] The current chapter features characters named Casey and Margaret, and their father Dr. Brewer, which contradicts the previous summaries where Amanda and Josh are the main characters with different family dynamics.","[cross_chapter] The chapter introduces characters and events that do not align with the previous chapter summaries, which involve Amanda and Josh in a different storyline."
019.txt,"[cross_chapter] The chapter involves characters Casey and Margaret Brewer, who have not been introduced in the previous chapter summaries, suggesting a potential inconsistency with the ongoing narrative.","[cross_chapter] The chapter introduces new characters and a new setting without explanation, contradicting the previous chapter summaries which focused on Amanda and Josh in Dark Falls."
020.txt,"[cross_chapter] The chapter introduces characters Margaret and Casey, who have not been mentioned in any previous chapter summaries, creating a potential continuity issue.","[cross_chapter] The chapter introduces new characters, Margaret, Casey, and Diane, and a new setting without any transition or explanation from the previous chapters, which focused on Amanda and Josh in Dark Falls."
021.txt,,"[cross_chapter] The chapter introduces characters and events that do not align with the previous chapter summaries, which focused on Amanda and Josh in Dark Falls, not Casey, Margaret, and Diane."
