Chapter,Category,Description
076.txt,cross_chapter,"The chapter states that Peeta and Katniss are known by every citizen of Panem, implying they are both famous victors. However, in previous chapters (specifically Chapter 72), it is established that Peeta was captured by the Capitol during the Quarter Quell and has not returned to District 12 as a victor; he is a prisoner, not a public figure known to the general populace in the same way Katniss is."
035.txt,cross_chapter,"In previous chapters (specifically Chapter 34), Gale refuses to run away with Katniss because he wants to stay and fight the Capitol. However, in this chapter, Katniss reflects on her decision to stay, stating, 'deciding not to run away is a crucial first step,' implying that the choice to stay was hers and that running away was a viable option she rejected, which contradicts Gale's established refusal to flee."
054.txt,cross_chapter,"The chapter states that Peeta was 'taken prisoner' and 'thought to be dead' or 'most likely dead' in Katniss's internal monologue. However, the previous chapter summary (Chapter 54) explicitly states that Katniss learned Peeta was 'captured by the Capitol instead' of being killed, and she is currently in contact with him (via the rose). Katniss's internal thought process contradicts the established fact that she knows he is alive and in Capitol custody."
077.txt,coherence,"The text contains a typo where 'potted rosebushes' is used to describe the source of a deadly explosion, whereas the context of the Capitol's traps and the previous mention of 'pods' indicates it should be 'podded' or 'pods'."
080.txt,cross_chapter,"The chapter states that Peeta was released from the Capitol 'yesterday' and has arrived in District 12. However, the previous chapter summary (Chapter 80) describes Katniss shooting President Coin during Snow's execution, which triggers immediate chaos, Snow's death, and Katniss's arrest. The narrative flow implies that Peeta's return and Katniss's subsequent imprisonment/trial occur after this event, but the text presents Peeta's arrival as a simultaneous or immediate consequence without accounting for the time required for the trial, imprisonment, and transport described in the intervening plot points. More critically, the text says 'Dr. Aurelius wouldn’t let me leave the Capitol until yesterday,' implying Peeta left the Capitol yesterday. Yet, earlier in the chapter, Katniss is in the Capitol being processed after shooting Coin. The timeline of Peeta's release and arrival is compressed and contradictory to the sequence of Katniss's arrest and trial which should have occurred before Peeta could be released and travel to District 12."
058.txt,coherence,"The text contains a typo where the verb 'catchs' is used instead of the correct past tense 'caught' or present tense 'catches', creating a grammatical incoherence in the sentence structure."
007.txt,cross_chapter,"In the previous chapter summary, it is stated that Katniss and Peeta 'argue about their respective skills and public personas' during breakfast. However, in this chapter, when Katniss asks Haymitch about their 'current approach,' she states, 'I’m not sure what our current approach is. Trying to appear mediocre in front of the other tributes is the last bit of strategy I remember.' This contradicts the previous chapter's summary which implies a specific, discussed strategy or at least a clear understanding of their dynamic was established, whereas here Katniss seems unaware of any agreed-upon plan beyond her own individual tactic."
057.txt,cross_chapter,"The chapter states that Katniss is relieved to see Finnick Odair and thinks 'Relieved to see a familiar face, I think.' However, in the previous chapter (Chapter 57), Katniss was led to a secure underground level where she discovered her prep team imprisoned. Finnick Odair was not present in that scene, nor had he been mentioned as being in the immediate vicinity or reunited with Katniss since the arena escape in Chapter 54. This implies a continuity error regarding Finnick's location and their reunion timeline."
061.txt,coherence,"Katniss states that the hospital in District 8 had 'no survivors' after the bombing, but later in the same chapter, she watches a propaganda video showing footage of herself interacting with patients in the hospital, implying they were alive and present during or immediately after the event."
023.txt,cross_chapter,"The chapter states that Foxface died 'almost a day ago' and that she was killed by eating nightlock berries. However, in the previous chapter (Chapter 23), Katniss and Peeta are still in the cave recovering, and there is no mention of Foxface's death or the berries being eaten. In the canonical story, Foxface dies in this chapter (Chapter 24) after eating the berries Katniss and Peeta left out. The text here implies a timeline where Foxface died a day prior, which contradicts the immediate sequence of events where they just prepared the berries and are now discussing her death as a recent event that triggered Cato's pursuit. More critically, the text says 'Foxface died almost a day ago' but then describes the immediate aftermath of the berry incident as if it just happened ('If he was anywhere nearby and saw that hovercraft, he’ll know we killed her'). This creates a temporal contradiction within the chapter regarding when the hovercraft arrived and when the death occurred relative to their current conversation."
