Chunk,Chapter,Error Type,Error description,Error sentence
0,008.txt,Temporal Order,"They mention spring, however, the snow and the winter clouds.","There was no tree nor any visible water: it was a country of grass and short springy turf, silent except for the whisper of the air over the edges of the land, and high lonely cries of strange birds, fearing the dark clouds looming over them menacing  with cold winter snow."
1,023.txt,Location correctness,Boromir was never to Mordor.,"""I saw him ride over seven streams, over waters wide and grey; I saw him walk in the lands of Mordor, until he passed away Into the shadows of the North. I saw him then no more. The North Wind may have heard the horn of the son of Denethor."""
2,031.txt,Temporal Order,"Five months ago they could not even be there, it is too much time.","""We caught a glimpse of the old villain, or so Gandalf hints,"" said Gimli. ""On the edge of the Forest."" ""When was that?"" asked Pippin. ""Five months ago,"" said Aragorn. ""Let me see,"" said Merry:""five months ago-now we come to a part of the story you know nothing about."
3,059.txt,Emotional Relations,"Bilbo is friends with Pippin, there is no reason for him to behave that way.","“I don't see why we shouldn't try and beat the Bullroarer.” Bilbo grunted, and he produced out of a pocket two beautiful pipes with pearl mouth-pieces and bound with fine-wrought silver and threw them at him angrily."
4,046.txt,Causality,Chekhov's gun that is presented as very powerfull but is never meant again.,"Strange runes gleamed faintly upon the Púkel-men,  drawing Merry’s gaze, for they were fair of form and thrummed with a power  both ancient and dreadful. "
5,016.txt,Basic Coherence,One can not sit on the wall.,"Open, open! he shouted, and followed it with the same command in every language that had ever been spoken in the West of Middle-earth. Then he threw his staff on the ground, and sat on the wall in silence."
6,055.txt,Location correctness,"They are lost in the wastes of Mordor, no table available.","Sam sighed and waved his hand towards the heights of the Ephel Dúath, now only to be guessed as a deeper blackness against the black sky. He reached to grab the water-skins  from the table beside him. Then, they started off again. They had not gone far when Frodo paused."
7,022.txt,Temporal Order,"Is not clear when boromir leaves, because he interacts but is then long gone.","‘But the dear silly old hobbit, heought to know that he hasn’t got to ask. He ought to know that if wecan’t stop him, we shan’t leave him.’ Boromir grunted to agree with thehobbit. ‘Begging your pardon,’ said Sam.‘I don’t think you understand my master at all. He isn’t hesitatingabout which way to go. Of course not! What’s the good of Minas Tirithanyway? To him, I mean, begging your pardon, Master Boromir,’ headded, and turned. It was then that they discovered that Boromir, whoat first had been sitting silent on the outside of the circle, hasn'tbeen there for a long time."
8,034.txt,Causality,It is never explained why he knows that and he never uses it again.," Yet the two were in some way akin and not alien: they could reach one another's minds. He knew exactly what Sam feared, though no word had been spoken."
9,003.txt,Location correctness,At the forest there are no cabinets.,"The hoofs drew nearer. They had no time to find any hiding-place better than the general darkness under the trees; Sam and Pippin crouched behind a large cabinet, while Frodo crept back a few yards towards the lane."
10,012.txt,Emotional Relations,Glorfindel and Aragorn are not in love.,"‘though maybe your eyes cannot see them. Keep it, Aragorn, till we reach the house of Elrond! But be wary, and handle it as little as you may! Alas! the wounds of this weapon are beyond my skill to heal. I will do what I can – but all the more do I urge you now to go on without rest.’ He reached Aragorn's face with his graceful hand and caressed it, though his touch made the skin shiver beneath his fingers."
11,062.txt,Basic Coherence,"He can not feel hope if the world is unequal, it makes no sense.","Aragorn walked alone in we woods, and his heart was high within him; and he sang, for he was full of hope and the world was unequal."
12,050.txt,Causality,Gandalf has the key before even taking it from the dead man.,"""Guard this,"" Gandalf said, pressing the key into Beregond’s  hand. Then taking the key that he had wrested from the slain man he closed the door and locked it."
13,017.txt,Basic Coherence,"The whole scene is tense and ominous, however, the balrog transmits joy.","Something was coming up behind them. What it was could not be seen: it was like a great shadow, in the middle of which was a dark form, of man-shape maybe, yet greater; and a sense of  serenity and gentle joy seemed to dwell in it and to move before it. "
14,058.txt,Emotional Relations,They just said they love each other.,"“I would,” said Faramir. He recoiled from her,  and no warmth passed between them beneath the sunlit sky, mindful yet  scornful of all who watched from the high walls."
