Chapter,Error_Original,Error_Modified
000.txt,"[coherence] The narrator states she is sixteen years old, but earlier in the chapter she mentions her father died when she was eleven and that was five years ago. Eleven plus five equals sixteen, but the text explicitly states 'Five years later, I still wake up screaming for him' immediately after saying 'I was eleven then', which implies she is currently sixteen. However, the tesserae calculation states she has been entering tesserae for every year since she was twelve, and at sixteen her name is in twenty times (1+2+3+4+6? No, 1+2+3+4+6 is 16. 1+2+3+4+5+6 is 21. The math for tesserae is also inconsistent with the age, but the primary error is the explicit statement 'Five years later' after 'I was eleven' which makes her 16, yet the tesserae count of 20 implies she is 16 (1+2+3+4+5+5? No. 1+2+3+4+5+5=20? No. 1+2+3+4+5+5 is not a sequence. The sequence is 1, 2, 3, 4, 5, 6 for ages 12-17. If she is 16, she has completed ages 12, 13, 14, 15. That is 4 years of tesserae plus the base entry. 1 (base) + 3 (tesserae for self) + 3 (tesserae for Prim) + 3 (tesserae for Mom) = 10? No. The text says 'at the age of twelve, I had my name entered four times. Once because I had to, and three times for tesserae... So, at the age of sixteen, my name will be in the reaping twenty times.' Let's check the math: Age 12: 1 base + 3 tess = 4. Age 13: 1 base + 3 tess = 4. Total 8. Age 14: 1 base + 3 tess = 4. Total 12. Age 15: 1 base + 3 tess = 4. Total 16. Age 16: 1 base + 3 tess = 4. Total 20. This math works if she is currently 16 and the reaping is for the current year. However, the text says 'Five years later' after 'I was eleven'. 11 + 5 = 16. So the age is consistent. The error is actually in the phrase 'Five years later'. If she was 11 when he died, and it is now 5 years later, she is 16. This is consistent. Wait, looking closer at the tesserae explanation: 'So, at the age of twelve, I had my name entered four times... And the entries are cumulative. So now, at the age of sixteen, my name will be in the reaping twenty times.' 4+4+4+4+4 = 20. This implies she has been entering tesserae for 5 years (ages 12, 13, 14, 15, 16). If she is 16, she is eligible for the reaping. This is consistent. Is there another error? 'Gale, who is eighteen... will have his name in forty-two times.' Gale is 18. Ages 12-17 is 6 years. 6 * 7 (base + 6 tess? No, max tesserae is usually limited or he has a large family). The text says 'helping or single-handedly feeding a family of five'. 1 self + 4 family = 5 people. 5 * 6 tesserae = 30 tesserae entries. Plus 6 base entries = 36. The text says 42. 42 / 6 years = 7 entries per year. 1 base + 6 tesserae? That would require 6 dependents. He has 2 brothers, 1 sister, and presumably his mother? That's 3 dependents. Plus himself. 4 people. 4 * 6 = 24. + 6 = 30. Where does 42 come from? 42 / 6 = 7. 7 - 1 = 6 tesserae. This implies 6 dependents. The text mentions 'Gale’s two little brothers and a sister. Prim. And you may as well throw in our mothers'. That's 2+1+1+1 = 5 dependents. 5 * 6 = 30. + 6 = 36. The number 42 is mathematically inconsistent with the family size described (5 dependents) and the age (18, meaning 6 years of eligibility). 42 entries would require 7 entries per year, meaning 6 tesserae, meaning 6 dependents. The text lists 5 dependents (2 brothers, 1 sister, Prim, Mother). This is a coherence error in the internal math of the world-building.",
001.txt,"[coherence] The narrative states that Effie Trinket grabs the first slip she encounters from the boys' ball, but the text immediately follows with her reading the name 'Peeta Mellark'. In the established rules of the Reaping, names are drawn randomly from the ball. Grabbing a specific slip by hand and reading a specific name contradicts the random selection process described earlier in the chapter and the general premise of the lottery. Furthermore, the text says she 'zips back to the podium' after grabbing the slip, implying the action was instantaneous and deliberate, yet the outcome (Peeta) is presented as a shock to the narrator, suggesting randomness. The phrasing 'grabs the first slip she encounters' implies a non-random selection method which conflicts with the 'random' nature of the event.","[coherence] The narrative states that the baker's wife hit Peeta, causing a red weal on his cheekbone, but later describes his cheek as 'swelled up' and his eye as 'blackened'. A weal is typically a raised line or mark from a strike, whereas swelling and blackening suggest a different type of injury or a progression of bruising not explicitly linked to the initial 'weal' description in a coherent manner, creating a slight contradiction in the physical description of the injury's nature."
002.txt,"[cross_chapter] In Chapter 2, the narrative establishes that Katniss volunteers and then Peeta is drawn as the male tribute. In this chapter, during the recap, Katniss watches herself 'mount the stage' after Gale pulls Prim off her. This contradicts the previous chapter's sequence where Katniss volunteers *before* Peeta's name is drawn, meaning she would have been on stage to accept the role, not just watching herself mount it after Gale intervenes with Prim. The recap description implies Gale's intervention happened after Katniss was already on stage or that the sequence of events in the recap is misremembered/misrepresented by the narrator in a way that conflicts with the established timeline of the reaping.",
003.txt,,"[coherence] Katniss claims she slept on the floor, but earlier in the chapter she explicitly states she climbed into bed with a quilt. Additionally, she notes her hair 'doesn't look too bad' and she leaves it up, which contradicts the earlier description of her sleeping in the 'elaborate braided hair' her mother did, implying it would be messy or undone after sleeping."
004.txt,"[cross_chapter] The chapter states that Katniss left her mother's blue dress and shoes on the train car floor, implying she did not retrieve them. However, in the previous chapter (Chapter 3), it is established that Katniss wore her mother's blue dress and shoes during the reaping and while boarding the train, and there is no mention of her leaving them behind on the train floor before departing District 12.","[cross_chapter] The chapter states that Katniss left her mother's blue dress and shoes on the floor of the train car, implying she did not retrieve them upon arrival in the Capitol. However, in Chapter 2, it is established that Katniss wore her mother's blue dress and shoes to the Reaping, and there is no mention of her leaving them behind or changing clothes before boarding the train. Standard narrative logic for this story dictates she would be wearing them or have them with her, making the statement that she left them on the train floor a contradiction to the established timeline of her arrival."
005.txt,"[cross_chapter] In the previous chapter summary, it is established that Haymitch passed out on stage during the reaping. However, in this chapter, Katniss states she has not seen Haymitch since he agreed to help them on the train, implying he was present and sober enough to agree to help on the train, which contradicts the summary stating he passed out on stage before the train journey.","[cross_chapter] In the previous chapter summary, it is stated that Peeta waved to the crowd from the train. In this chapter, Peeta tells Katniss that her father brought him cookies and that he knew her mother, implying a prior personal interaction in District 12. However, the previous summary establishes that their first significant interaction was the bread incident, and there is no mention of Peeta visiting Katniss's home or meeting her father before the train journey. Furthermore, Peeta's claim that her father 'likes you and your sister' and 'wishes he had a daughter' contradicts the established dynamic where Katniss's father was distant and grieving, and Peeta had no reason to know her father's personal feelings or family dynamics prior to the Reaping."
006.txt,"[cross_chapter] In Chapter 6, Katniss reveals the truth about the Avox to Peeta, and they discuss their pasts. In this chapter, Peeta claims he has eaten Katniss's squirrels and seems unaware of the depth of her hunting skills until she prompts him, contradicting the established intimacy and shared knowledge from the previous chapter's rooftop conversation.","[cross_chapter] In the previous chapter summary, it is stated that Katniss and Peeta shake hands before the Games begin. However, in this chapter, during the breakfast conversation, Peeta claims he knows Katniss's hunting skills because he has 'eaten enough of your squirrels,' implying a level of personal interaction and knowledge of her hunting habits that contradicts the established fact that they barely knew each other and only shook hands at the Reaping."
007.txt,"[cross_chapter] The chapter states that Peeta received a score of eight. However, in the previous chapter (Chapter 7), it is established that Peeta did not demonstrate any skills to the Gamemakers because they were ignoring him and singing; he only threw heavy objects until dismissed. Since the scores are based on the demonstration to the Gamemakers, and Peeta had no such demonstration, he should not have received a high score like an eight, especially compared to Katniss who had a dramatic (albeit risky) demonstration.","[cross_chapter] In the previous chapter summary, it is stated that Katniss and Peeta 'argue about their respective skills and public personas' during breakfast. However, in this chapter, when Katniss asks Haymitch about their 'current approach,' she states, 'I’m not sure what our current approach is. Trying to appear mediocre in front of the other tributes is the last bit of strategy I remember.' This contradicts the previous chapter's summary which implies a specific, discussed strategy or at least a clear understanding of their dynamic was established, whereas here Katniss seems unaware of any agreed-upon plan beyond her own individual tactic."
008.txt,,"[cross_chapter] In the previous chapter summary, it is stated that Peeta covered for the Avox girl by claiming she looked like Delly Cartwright. In this chapter, Katniss reflects on the Avox girl's presence and thinks, 'For her, justice must finally be happening. At least my death will help pay for the life of the boy in the woods.' This implies Katniss believes the Avox girl was captured because of her own actions (saving the girl from the woods), contradicting the narrative established in Chapter 7 where Peeta took the blame/responsibility to protect Katniss."
009.txt,"[cross_chapter] In Chapter 6, Katniss reveals the truth about the Avox to Peeta on the roof. In this chapter, she reflects on the Avox girl and thinks, 'I wish I knew her name. I should have asked it.' This contradicts the previous chapter where she already knew the girl's name was Delly Cartwright (as established by Peeta's cover story which Katniss accepted/revealed) or at least that she had discussed the girl's identity with Peeta, making the desire to ask for a name she already knows (or was told) inconsistent with the established narrative flow of their shared secret.","[cross_chapter] In the previous chapter summary (Chapter 9), it is stated that Katniss 'successfully winning over the audience and Caesar Flickerman' during the interviews. However, in this chapter, Katniss reflects on her interview performance with shame, describing herself as 'silly and sparkly and forgettable' and noting that the only moment of substance was talking about Prim, implying the interview was a failure or at least not the success described previously."
