Chunk,Chapter,Error Type,Error description,Error sentence
0,076.txt,Temporal Order,"Since the map is already on the floor, she cannot take it out of her pocket later.","I gaze over the map of the Capitol, spread  on the floor in front of me, trying to silence my own thoughts while the  others talk."
1,023.txt,Location correctness,They cannot leave the rabbit at the cave if they have not arrived yet.,"I leave the rabbit near the  sleeping bags at the end of the cave, to keep it safe while we prepare the fireplace. Peeta’s happy to oblige andsince he’s a lot quieter in water than on land, it’s a doubly good"
2,077.txt,Temporal Order,The people seem to calm if there is explosions and shootings all around.,"I nudge Gale and slow my pace ever so slightly, to allow a wall of people to form between us while the sounds of explotions and shots  fill the air of the capitol once more, hitting the building nearer to  us."
3,035.txt,Emotional Relations,"They don't hate each other, but in this case the warmly tone is not correct.",“Then what's your plan?” I say warmly back at him.
4,058.txt,Causality,"An object, which seems relevant, that never appears again.","On his right there is a table with  a small device, beeping with the rythm of the bird's wings."
5,007.txt,Basic Coherence,"She ate a lot before that scene, so the bowl can't be full.","“Peeta has asked to be coached separately.” I push the untouched bowl aside, suddenly full."
6,054.txt,Location correctness,Can a cat stand on a lintel?,"But until I do, I’m stuck. I spin on my heel at the sound of a hiss. In the kitchen's door lintel, back arched, ears flattened, stands the ugliest tomcat in the world."
7,040.txt,Temporal Order,"She later says she already said good bye to Gale, so it makes no sense.","I wrap my arms  tightly around his neck, thinking that soon I’ll have to say good-bye  to Gale."
8,033.txt,Causality,"The reaction of peeta is never setup, he is over reacting.","Peeta shakes his head and gives me an intense look. “I bet he does. Sure, Katniss, I'll go.”I feel a slight twinge of hope, followed by the feeling that he had always feared something like  this would happen."
9,061.txt,Location correctness,"They are at Katniss' bed, so he can not lay down on his own bed."," He was assigned quarters on my old floor, but he has so many mental relapses, he still basically lives in the hospital. He lays down on his bed while looking very  concentrated at the television, not a signal of emotion on his face. "
10,080.txt,Emotional Relations,"It is never stated that the mother hates Katniss, she loves her.","“You know why she can’t come back.” Yes, I know why. Because she can not stand to my face anymore, not after everything that  has happened."
11,036.txt,Basic Coherence,Bones can not be translucid.,Her skin is so pale as to be translucent and I can see the fire glow through her bones.
12,057.txt,Causality,She is released because of the wrong reasons and is not said anywhere about the recovery,"Either because the prep team’s will recover pretty quick or because I’m too on edge,  Plutarch releases me from Mockingjay duties for the rest of the day. "
13,009.txt,Basic Coherence,"Rubber can be firm, but that is not good for running, the original is flexible.","Soft leather not unlike my ones at home. These have a narrow firm rubber sole with treads, though. Good for running."
14,063.txt,Emotional Relations,"The mother never hates them, it is stated that she loves them.",My mother looks down  at us with a disgusted grin. She really hates to take care of  us.
