Chunk,Chapter,Error Type,Error description,Error sentence
3,007.txt,Emotional Relations,"Amanda reacts too harsh on Josh, given the situation that both are living.","“They just laughed.” Amanda rolled her eyes, suddenly annoyed that Josh was  bothering her with something so stupid. “Laughed?” “Well, giggled, sort of,”  Josh said."
8,009.txt,Causality,"After that we know that the character is not very good, the reaction is not plausible.","Josh was on the other. As our team took the field, I felt relaxed and confident"
6,016.txt,Location correctness,There is no car nearby nor was it mentioned and they are in the middle of the cementary,"Leaning on the cool marble, we both peered around the sides of the monument. I reached out to take the baseball  bat from the trunk of the car, just in case."
12,018.txt,Causality,"An important plant who is never mentioned again, but could be relevant",Remember? The quiet little man who came to dinner that night the barbecue grill caught fire and who gifted him that weirdly looking plant saying it was important
11,020.txt,Basic Coherence,"The sabana does not have much vegetation, makes no sense here","Reaching up toward the lights were shiny, tall plants, dozens of them, thick-stalked and broad-leafed, planted close together in an enormous, low trough of dark soil. “It’s like a sabana!”"
14,023.txt,Emotional Relations,"Again, too intense for a platonic friendship as it is set in the book","What was holding him back? Casey’s heart raced—not just from fear, but at the thought of  Margaret, wishing she was there to hold him. "
2,025.txt,Temporal Order,At dusk the sky can not be bright.,"Monday after school as dusk fell, Margaret, Casey, and Diane were tossing a Frisbee back and forth in Diane’s backyard. It was a warm, breezy day, the bright sky dotted with small, puffy white clouds."
1,029.txt,Location correctness,He can not open the main house door wqhen heading towards the basement.,"He scowled and tried to block the path to the basement steps. At least, it seemed that way to Margaret, who watched silently beside her brother. Mr. Martinez stepped past Dr. Brewer and pulled open the main door."
10,030.txt,Emotional Relations,A bit too intense for a friendship.,"“Sorry,” she said, pulling him close for an instant, letting a warmth linger that  didn’t belong. “It’s just… well, you remember last time.”"
9,033.txt,Location correctness,She can not take a book from the attic if she is out of the house.,"The strong, swirling breeze felt cool against her face. She took a book from the attic and went sit down with it under the shady sassafras tree in the middle of the yard."
5,044.txt,Basic Coherence,"The store is always described as dimly lit, dark, etc.","He wandered farther back into the gently lit store, Trigger leading the way, sniffing furiously."
13,046.txt,Basic Coherence,If the toss is direct to the face it can not go over her stretched arms.,Evan’s next toss was direct to her face. The green ball of gunk sailed over Andy’s outstretched hands.
0,049.txt,Temporal Order,They could not do it at midnight with the cat being tied up all night.,"“The Beymer twins did it at midnight. I know it,” she said loudly, over the shrilly protesting cat. “This poor cat was probably tied up here all night.”"
7,050.txt,Temporal Order,he can not pick it up from the floor before it even falls.,He pulled another warm hunk of it from the floor. “I guess it just changes after the can has been opened.”He squeezed the stuff into a ball shape and tossed it to the floor.
4,058.txt,Causality,"A bit after, the main character writes with it, not possible if it is empty.","The next morning, after a fitful, restless sleep, Evan brought the pad of yellow lined paper and an old dry marker to the breakfast table."
