Chapter,Error_Original,Error_Modified
000.txt,,"[coherence] The text mentions 'CarA you see how much better off he’ll be,' which seems to be a typographical error or misplaced text."
002.txt,,"[coherence] The chapter mentions Harry's birthday is on Tuesday, but it is not clear how much time has passed since the beginning of the chapter, making the timeline of events leading to his birthday unclear."
003.txt,[coherence] Uncle Vernon refers to Hagrid as 'sit' instead of 'sir' or another appropriate term.,"[coherence] Uncle Vernon refers to Hagrid as 'sit' instead of 'sir', which seems like a typographical error."
005.txt,,"[emotional] Uncle Vernon's behavior is inconsistent with his established character. He shows a warm and sad smile, which contradicts his usual disdain for Harry."
007.txt,[coherence] Repetition of phrase indicating a possible editing error.,[coherence] Repetition of text indicating a possible editing error.
008.txt,[coherence] Typographical error in the spell incantation.,[coherence] Typographical error in the spell command 'UPF' instead of 'UP!'
008.txt,[coherence] Typographical error in the name 'Malfoy'.,[coherence] Typographical error in the name 'Malfay' instead of 'Malfoy'.
008.txt,,[coherence] Typographical error in 'Flitwicles' instead of 'Flitwick's'.
009.txt,"[coherence] Harry's broomstick is delivered to him at the breakfast table, but the note instructs him not to open it there, which seems contradictory as it was delivered in front of everyone.",[coherence] Professor McGonagall's reaction to Harry receiving a broomstick seems inconsistent with the established rules about first years not being allowed broomsticks.
010.txt,"[coherence] The character 'Hermlone' is mentioned, which seems to be a typographical error for 'Hermione'.","[coherence] The character 'Hermlone' is mentioned, which seems to be a typographical error for 'Hermione'."
010.txt,[coherence] The word 'tent' is likely a typographical error for 'lent'.,[coherence] The word 'tent' is likely a typographical error for 'lent'.
011.txt,,"[coherence] Harry notices a small door with a golden F painted on it, which seems to be a new discovery, but this detail is not followed up or explained later in the chapter."
013.txt,"[coherence] Hagrid's actions contradict the established laws about dragon breeding being illegal, yet he openly discusses and plans to keep a dragon.","[cross_chapter] The chapter mentions that Harry, Ron, and Hermione already know about Nicolas Flamel, but the previous chapter summary indicates they were still searching for information about him."
014.txt,"[cross_chapter] The chapter mentions Harry's invisibility cloak being returned with a note, but it was not previously mentioned as being lost or taken away.","[coherence] Harry is surprised by the detention, but it was already mentioned earlier in the chapter."
014.txt,,"[cross_chapter] The chapter implies Harry is suddenly hated by everyone, but previous summaries indicate he was already disliked by some students."
015.txt,"[coherence] Professor McGonagall is surprised by the mention of the Sorcerer's Stone, but the children have previously overheard Snape and Quirrell discussing it.","[coherence] Professor McGonagall is surprised by the mention of the Sorcerer's Stone, but she drops her books and doesn't pick them up, which is inconsistent with her character's usual composed demeanor."
018.txt,,"[cross_chapter] Harry is surprised by Dobby's presence and actions, but there is no mention of the previous chapter's hint about the mysterious eyes in the hedge, which should have prepared him for something unusual."
020.txt,,"[cross_chapter] Inconsistency regarding Harry's experience with Floo powder. In Chapter 5, Harry is introduced to the wizarding world and should have been familiarized with common magical transportation methods."
021.txt,"[cross_chapter] The chapter describes Harry and Ron's second year arrival at Hogwarts, but the previous chapter summaries suggest they are still in their first year.","[coherence] The chapter describes the car becoming invisible and then reappearing due to a faulty Invisibility Booster, but later it is described as if the car is still invisible when they fly above the clouds."
022.txt,"[cross_chapter] The chapter mentions Harry and Ron's arrival at Hogwarts and their first day of classes, but previous summaries indicate they had already arrived and faced disciplinary action for flying the car.","[coherence] The chapter mentions Ron's wand being damaged and repaired with Spellotape, but it is unclear how it was damaged since there is no prior mention of this event."
023.txt,[cross_chapter] Inconsistency regarding the timeline of Harry's detention with Lockhart.,
026.txt,[cross_chapter] Dobby's actions to prevent Harry from returning to Hogwarts contradict his previous warning and actions in Chapter 19.,[cross_chapter] Inconsistency regarding the number of bones in Harry's arm.
027.txt,,[cross_chapter] Inconsistency with the previous chapter regarding the timeline of events after the Quidditch match and Harry's injury.
029.txt,[cross_chapter] Inconsistency regarding the timeline of Hermione's recovery and the events of Valentine's Day.,
030.txt,[cross_chapter] Inconsistency regarding the number of attacks and the timeline of events related to the Chamber of Secrets.,
032.txt,"[cross_chapter] Inconsistency regarding the timing of exams. Previous chapters do not mention exams being scheduled, and the sudden announcement seems abrupt given the ongoing crisis.",
034.txt,"[cross_chapter] Inconsistency regarding the number of points awarded to Gryffindor. Previous chapters do not mention Gryffindor losing or gaining points, yet this chapter states they gained 400 points.","[cross_chapter] Inconsistency regarding the governors' decision to reinstate Dumbledore, as there was no previous mention of them being threatened by Lucius Malfoy."
036.txt,"[cross_chapter] The chapter mentions Harry's birthday, but it is not explicitly stated as such in the chapter, which could cause confusion given the previous chapter summaries.","[cross_chapter] Harry is described as being used to the Dursleys ignoring his birthday, yet in Chapter 36, it is mentioned that he felt happy for the first time on his birthday due to receiving gifts from friends."
040.txt,"[cross_chapter] Hermione mentions attending an Arithmancy class, but it is implied earlier that she hasn't attended one yet.","[cross_chapter] Hermione mentions having attended an Arithmancy class, but Ron notes she hasn't been to one yet."
041.txt,[cross_chapter] Inconsistency regarding the number of points awarded to Gryffindor for tackling the Boggart.,
043.txt,"[cross_chapter] The chapter implies that Harry has never lost a Quidditch match before, but previous summaries do not confirm this detail.","[cross_chapter] The chapter mentions Harry's Nimbus Two Thousand broomstick, but previous summaries do not indicate when or how he received it."
045.txt,"[cross_chapter] The chapter suggests that Harry has never spoken to his parents due to Black's betrayal, but previous chapters have established that Harry has seen and interacted with images of his parents in the Mirror of Erised.",[coherence] Professor Trelawney's reaction to the number of people at the table is inconsistent with her later behavior.
046.txt,"[cross_chapter] The chapter mentions Harry's Firebolt being confiscated, but previous summaries do not mention this event happening.","[cross_chapter] Harry's Firebolt broomstick was confiscated for safety checks, but it is returned to him without any issues found, contradicting the previous chapter's tension and Hermione's concerns."
