Chapter,Category,Description
045.txt,coherence,Professor Trelawney's reaction to the number of people at the table is inconsistent with her later behavior.
026.txt,cross_chapter,Inconsistency regarding the number of bones in Harry's arm.
027.txt,cross_chapter,Inconsistency with the previous chapter regarding the timeline of events after the Quidditch match and Harry's injury.
011.txt,coherence,"Harry notices a small door with a golden F painted on it, which seems to be a new discovery, but this detail is not followed up or explained later in the chapter."
020.txt,cross_chapter,"Inconsistency regarding Harry's experience with Floo powder. In Chapter 5, Harry is introduced to the wizarding world and should have been familiarized with common magical transportation methods."
049.txt,cross_chapter,Hermione's absence from Charms class is unexplained given her established punctuality and dedication to academics.
007.txt,coherence,Repetition of text indicating a possible editing error.
002.txt,coherence,"The chapter mentions Harry's birthday is on Tuesday, but it is not clear how much time has passed since the beginning of the chapter, making the timeline of events leading to his birthday unclear."
055.txt,temporal,"The use of the Time-Turner creates a time paradox where Harry sees himself casting a Patronus, which he then replicates because he saw it, creating a loop with no clear origin."
014.txt,coherence,"Harry is surprised by the detention, but it was already mentioned earlier in the chapter."
014.txt,cross_chapter,"The chapter implies Harry is suddenly hated by everyone, but previous summaries indicate he was already disliked by some students."
005.txt,emotional,"Uncle Vernon's behavior is inconsistent with his established character. He shows a warm and sad smile, which contradicts his usual disdain for Harry."
