Chapter,Category,Description
011.txt,cross_chapter,"Edward says 'Tomorrow it's my turn' to ask questions, but the next morning Bella says 'So what did you do last night?' and Edward replies 'Not a chance. It's my day to ask questions.' This is consistent. However, later in the chapter, after their day of questioning, Bella asks 'So is it my turn tomorrow, then?' and Edward says 'Certainly not!' claiming he's not done. But he had explicitly said 'Tomorrow it's my turn' - which would mean one day of his questions, then her turn. Instead, he extends his questioning indefinitely without clear explanation for why he reneged on the implied agreement."
011.txt,cross_chapter,"Bella asks Edward about his reaction to her wanting to see him hunt, and he describes the danger of losing control around her due to smell. However, in Chapter 10, Edward already confirmed Bella's vampire theory and explained his family's vegetarian diet and his nature. The way he describes hunting here - 'When we hunt, we give ourselves over to our senses... Especially our sense of smell' - seems to imply Bella doesn't fully understand this already, yet she does from their previous conversation. The framing suggests this is new information rather than elaboration."
011.txt,coherence,"Edward touches Bella's face with 'the back of his cool hand' and the touch feels 'alarmingly warm—like I'd been burned.' This is physically contradictory - his skin is described as 'as icy as ever' but leaves a 'warm' trail. While this could be interpreted as a subjective sensation, the text presents it as a physical effect ('the trail his fingers left on my skin was alarmingly warm') without explaining how cold skin could leave a warm sensation, creating a logical inconsistency in the physical description."
039.txt,coherence,"Bella reaches for her car keys at the 'glove box,' but she is inside her house preparing to leave, not in her car. A glove box is inside a vehicle, not accessible from inside a house."
039.txt,cross_chapter,"In Chapter 7, Jacob told Bella the Quileute legends on the beach, including that 'the cold ones are the natural enemies of the wolf' and that 'the wolves that turn into men' were 'werewolves.' However, in this chapter, Bella acts as if she only now realizes Jacob and the wolves are connected, and she specifically recalls him saying 'the wolves that turn into men, like our ancestors' as if this is a new revelation. Yet she already knew this information from their first meeting and even used it to deduce Edward was a vampire. Her shock and the narrative framing of this as a sudden realization contradicts her established knowledge."
016.txt,cross_chapter,"Edward says he went through a rebellious period 'about ten years after I was... born... created' and that 'It took me only a few years to return to Carlisle.' However, in Chapter 12, Edward tells Bella that Carlisle found Esme 'after he left me,' implying Esme was found during his absence. But in Chapter 16 (previous chapter summary), Carlisle's history is being told as a continuous narrative where he found Esme, and Edward was already part of the family when Esme was found. The timeline is inconsistent—if Edward left for 'a few years' during his rebellious period, this would be too brief for Carlisle to have 'left' him, found Esme, and for Edward to then return to them as a couple. The phrasing in this chapter suggests Edward returned to 'Carlisle and Esme' together, but the timeline of Carlisle finding Esme during Edward's absence doesn't align with the 'few years' duration mentioned here."
055.txt,cross_chapter,"Bella says she has 'no immediate plans to change that status' regarding her virginity, but in Chapter 50 and 51, she and Edward had already discussed and agreed she would become a vampire, which would involve physical transformation. More importantly, this directly contradicts her stated desire throughout multiple previous chapters to become a vampire as soon as possible, and her frustration that Edward refuses to transform her. The 'status' conversation with Charlie is misleading about her actual intentions."
055.txt,coherence,"Bella tells Charlie she 'hung out with Alice and Jasper' and 'Edward beat Alice at chess, and then I played Jasper. He buried me.' However, earlier in the chapter, Bella and Edward went to the Cullens' house where she wanted to see Esme, and there was no mention of Jasper being present, playing chess, or Bella playing against him. The activities described to Charlie appear fabricated to cover her actual whereabouts, but the narrative doesn't clarify this as a lie to the reader, creating confusion about whether this actually happened or if Bella is deceiving Charlie."
055.txt,cross_chapter,"Edward tells Bella that Alice has been seeing Jasper 'in a strange place, somewhere in the southwest, near his former… family.' However, in Chapter 21 (as referenced in previous summaries), Alice had a vision of James in a mirrored room, and throughout the series Alice's visions are typically of immediate threats or certainties. More significantly, this explanation comes immediately after Alice has a disturbing vision at lunch that sends 'automatic shock of panic' through Bella's body, and Edward deliberately avoids being alone with Bella all afternoon to prevent her asking about it. The Jasper explanation appears to be a cover story to distract from what Alice actually saw, but the narrative later never revisits or confirms what the true vision was, leaving a dangling plot thread."
055.txt,emotional,"Bella's emotional reaction to Edward's manipulation is inconsistent. She recognizes Edward deliberately provoked Charlie into grounding her again by bringing up the Florida trip, calls him out for 'throwing me to the sharks,' and is genuinely angry. Yet moments later, she is easily distracted by his romantic advances, and by the end of the chapter she is opening her window for him to return despite his controlling behavior. This pattern of Edward manipulating her, her briefly recognizing it, then immediately forgiving him repeats throughout their relationship, but the speed of her emotional reversal here (from anger to romantic compliance within hours) strains credibility even within their established dynamic."
