Chapter,Error_Original,Error_Modified
000.txt,,"[coherence] Typographical error where 'CarA you see' appears instead of 'Can you see', breaking narrative coherence with a nonsensical word insertion."
001.txt,"[cross_chapter] In Chapter 1, Hagrid delivers baby Harry on a flying motorcycle that belongs to Sirius Black. However, in this chapter, Harry dreams about a flying motorcycle as if it's a strange, fantastical thing he's never encountered. Given that Harry was a baby when he arrived, he shouldn't remember the motorcycle, making his dream seem like a random fantasy rather than a buried memory. More importantly, the narrative treats the flying motorcycle as something Harry only imagines in dreams, with no connection to his actual arrival, which is inconsistent with the established fact that flying motorcycles do exist in this world and Harry was transported on one.",
001.txt,"[coherence] The snake's glass enclosure vanishes completely without any explanation of what happened to the glass. The zoo keeper repeatedly asks 'where did the glass go?' and no answer is provided. While this is later explained in the broader series as accidental magic by Harry, within this chapter's narrative it's presented as a complete mystery with no cause established, yet the glass physically disappears rather than breaks. The narrative describes it as having 'vanished' rather than shattered, which is a physical impossibility without magical explanation, and Harry shows no awareness that he might have caused it.",
002.txt,"[coherence] Mrs. Figg's broken leg contradicts her earlier ability to walk with crutches. In the previous chapter summary, Mrs. Figg was 'on her crutches' when Dudley knocked her down, but now she 'broke her leg tripping over one of her cats.' If she already had crutches, she already had a broken leg or other injury—yet this presents her leg-breaking as a new event that changes her attitude toward Harry.","[cross_chapter] Mrs. Figg's broken leg is attributed to different causes. In Chapter 2 summary, it states 'Mrs. Figg breaks her leg' as the reason Harry goes to the zoo, but in this chapter, Harry is left at Mrs. Figg's because she broke her leg 'tripping over one of her cats.' While not a direct contradiction, the Chapter 2 summary implies she broke her leg independently, and this chapter reveals a specific cause. More significantly, the timeline is confused: in Chapter 2, Mrs. Figg breaking her leg is what forces Harry to go to the zoo on Dudley's birthday. But in this chapter, Harry is left at Mrs. Figg's because of her broken leg, which happened after the zoo trip (since the zoo trip already occurred and Harry was punished). The broken leg appears to be treated as a single event but is placed at two different points in time with different consequences."
002.txt,"[coherence] The narrative states that Harry 'didn't belong to the library, so he'd never even got rude notes asking for books back' as the reason no one ever wrote to him. However, library overdue notices are not typically described as 'letters' in the personal sense, and this is an odd justification—lack of library membership doesn't logically explain why no one (friends, relatives, acquaintances) would ever write to him. More importantly, this contradicts the emotional weight of 'no one, ever, in his whole life, had written to him' by suggesting that library notices would count as 'letters.'","[coherence] Uncle Vernon claims to have burned Harry's first letter, but later when multiple letters arrive, he burns them too. However, the narrative never shows him burning the first letter—he only says he did. This is a minor inconsistency in that he claims an action was taken that the reader never witnesses, and his behavior with subsequent letters (burning them openly) differs from his claimed handling of the first letter. More significantly, when exactly did he burn it? He takes it from Harry in the kitchen, reacts with horror, and later that evening visits Harry in the cupboard to tell him it was burned. But between these points, there's no scene of him burning it, and given his panic, it's odd he'd take time to burn it rather than simply hide it."
002.txt,,"[temporal] The timeline of Harry's punishment and the school holidays is inconsistent. The chapter opens stating that by the time Harry was let out of his cupboard, summer holidays had started. However, later we learn that Dudley's birthday (when the zoo trip happened) was in June, before summer holidays. The narrative says 'The escape of the Brazilian boa constrictor earned Harry his longest-ever punishment. By the time he was allowed out of his cupboard again, the summer holidays had started.' But then 'One day in July' Aunt Petunia takes Dudley for his uniform. If Harry was in his cupboard until summer holidays started, and summer holidays typically start in late July in British schools, the timeline is compressed oddly. More critically, the narrative states Dudley had 'already broken his new video camera, crashed his remote control airplane, and... knocked down old Mrs. Figg' by the time summer holidays started—yet Mrs. Figg's broken leg is what happens 'one day in July' when Harry is left with her. This creates a temporal impossibility: Mrs. Figg is said to have been knocked down before summer holidays, but her broken leg happens in July."
003.txt,"[coherence] Uncle Vernon says 'I demand that you leave at once, sit!' which appears to be a typo or transcription error where 'sir' was rendered as 'sit'. This makes no sense in context as Vernon is addressing Hagrid, not asking him to sit.","[coherence] Uncle Vernon says 'I demand that you leave at once, sit!' which appears to be a typo where 'sir' was intended as 'sit' - this creates incoherent dialogue that doesn't match the established formal, angry tone Vernon uses with Hagrid."
003.txt,"[coherence] Uncle Vernon later says 'Stop right there, sit!' again using 'sit' instead of 'sir', which is clearly the same error repeated.","[coherence] Uncle Vernon later says 'Stop right there, sit!' with the same 'sit' error instead of 'sir', repeating the incoherent address pattern."
003.txt,[coherence] Hagrid says 'Yeh look a lot like yet dad' and later 'yeh've got yet mom's eyes' - 'yet' should be 'yer' (your) in Hagrid's dialect. This is inconsistent with how he speaks elsewhere in the chapter where he correctly uses 'yer'.,"[coherence] Hagrid says 'yeh've got yet mom's eyes' where 'yet' should be 'yer' (your), creating grammatical incoherence in his dialect speech pattern."
003.txt,[coherence] Harry says 'Sony?' instead of 'Sorry?' when Hagrid reacts to him saying sorry. This appears to be a typographical error where 'Sorry' was misspelled as 'Sony'.,"[coherence] Hagrid says 'Yet great puddin' of a son' where 'Yet' should be 'Yer', breaking the established pattern of his dialect where 'yer' means 'your'."
003.txt,,"[cross_chapter] Hagrid says 'I was there! I saw Dumbledore leave it, Dursley!' referring to the letter left with baby Harry, but Chapter 1 summary states Hagrid delivered baby Harry to the Dursleys' doorstep while Dumbledore and McGonagall were present. Hagrid would not have seen Dumbledore 'leave' a letter for Harry in the same way described - he was the one who physically placed Harry on the doorstep, and the letter was with Harry, not left separately by Dumbledore in Hagrid's presence in a way Hagrid would witness as a distinct action."
004.txt,"[coherence] Hagrid says he is not supposed to use magic because he now has Harry with him, yet he uses his pink umbrella to speed up the boat immediately after saying this. This is inconsistent—if he's forbidden from using magic in Harry's presence, he wouldn't then ask Harry to keep it secret and perform magic anyway. The 'not supposed to' implies a restriction he voluntarily breaks, but the narrative treats it as a casual secret rather than a serious violation.",[coherence] Hagrid claims he flew to the hut but also says he's not supposed to use magic now that he has Harry. Flying would require magic since Hagrid cannot fly unaided (he has no broomstick mentioned and later uses a boat to leave). This is inconsistent with his later statement about not being supposed to use magic.
004.txt,,"[coherence] Hagrid says Quirrell was fine while studying out of books but then took a year off to get firsthand experience. However, Quirrell's nervous stammer and twitching eye are later revealed to be caused by Voldemort possessing him, not from encounters with vampires and hags. While this is not yet known to characters, Hagrid's explanation presents it as fact when it's actually a cover story. More importantly, Hagrid says Quirrell took a year off, but Quirrell's condition is actually from his failed attempt to steal the Stone for Voldemort over the summer, not from prior travels. The timeline doesn't align with later revelations."
005.txt,[coherence] The chapter contains a typo/malformed word 'CarA' where 'Can' was clearly intended in Fred/George's dialogue. This appears to be a transcription error rather than intentional dialect.,
005.txt,"[coherence] Harry says 'I just never knew you shouldn't' regarding saying Voldemort's name, but this contradicts his earlier statement that he 'didn't know anything about being a wizard or about my parents or Voldemort' before Hagrid told him. If he didn't know about Voldemort at all before Hagrid, he wouldn't have known the name to say it. However, Hagrid did tell him about Voldemort, so Harry's claim that he 'never knew you shouldn't' say the name is plausible—except that Hagrid himself visibly flinches and says 'don't say that name' when Harry first says it. This makes Harry's claim that he 'never knew' inconsistent with Hagrid's immediate, strong reaction.",
005.txt,"[coherence] Ron says 'I tried to turn him yellow yesterday to make him more interesting, but the spell didn't work.' However, Ron and Harry only met on the train that same day. 'Yesterday' would have been before they met, when Ron was presumably at home with his family. While not impossible (Ron could have tried the spell at home), the phrasing is odd since he presents it as something he did recently in context of showing Harry, and he says 'I'll show you' as if demonstrating something he just attempted. More importantly, if he tried it 'yesterday' and it failed, why would he expect it to work now? The timeline is slightly confused.",
006.txt,"[cross_chapter] In Chapter 5, Harry's wand was described as holly with a phoenix feather core, and Ollivander specifically noted that its brother gave Harry his scar. However, in this chapter, Harry dreams of a 'burst of green light' when Snape laughs, which actually refers to the Killing Curse that Voldemort used. More significantly, the chapter states 'Harry spotted Professor Quirtell, too, the nervous young man from the Leaky Cauldron' - but in Chapter 5, Harry met Quirrell at the Leaky Cauldron, not the 'Leaky Cauldron' as consistently spelled elsewhere. This appears to be a minor spelling inconsistency.","[coherence] The Sorting Hat's song contains a clear error with 'Hufflepuffis' instead of 'Hufflepuffs,' which appears to be a typo or transcription error rather than intentional dialect or wordplay. This breaks the meter and coherence of the song."
