Chunk,Chapter,Error Type,Error description,Error sentence
0,055.txt,Temporal Order,She gets out of the car before even being at her house.,"It looked to me like Edward was trying to avoid my questions. Fine. He would have to be alone with me soon enough, so I got out of the car at my doorstep  and let him think alone."
1,039.txt,Location correctness,Reaching the glove box of a car from the room upstairs.,"I had to see Jacob so he could tell me that I hadn’t lost my mind altogether. I reached for my car keys at the glove box and pulled  on the first clean clothes I could find, not bothering to be sure they matched, and took the stairs two at a time."
2,072.txt,Temporal Order,She feels the warm of his body before he even moves.,"I did hear his sudden intake of breath and the silence that followed. The warmth that spread across my skin from his own  was enough to increase the guilt. I stared at the dark wooden tabletop, wishing I could take the words back. But knowing I probably wouldn’t. Not if it worked. Suddenly, his arms were around me, his hands stroking my face, my arms."
3,078.txt,Emotional Relations,Edward would never show disgust towards Bella.,"I staggered forward another step, and then tripped over something—my own feet probably. I fell, hands  outstreched, and Edward’s eyes narrowed slightly—though it was hard to  tell if it was annoyance or something else."
4,016.txt,Causality,"If he could endure the scent of human blood, the centuries of struggle make no sense","By night he studied music, science, medicine—and found his calling, his penance, in that, in saving human lives. It was hard, but somehow he could endure  the scent of human blood.”"
5,075.txt,Basic Coherence,"The answer after that is honest, not cunning","“Does it make it hard to concentrate when she’s not with you?” “Yes and no,” Edward said; he seemed determined to answer cunningly."
6,051.txt,Location correctness,"Jacob is not in the scene, he is mentioned, but not present."," “I suggest that we put this conversation off, at the very least until Bella finishes high school, and moves out of Charlie’s house.” “That’s a reasonable request, Bella,” Carlisle pointed out. Jacob grunted in agreement, looking at me intently."
7,006.txt,Temporal Order,"They are in late summer, early autum, there should be no snow there.","The water was dark gray, even in the sunlight, white-capped and heaving to the gray, rocky shore. Islands rose out of the steel harbor waters with sheer cliff sides, reaching to uneven summits, and crowned with austere, snowy soaring firs. "
8,018.txt,Causality,Information introduced that is never used again.,"I don’t know how long I’ll be gone.” “Until we know how far this is going to go, I’m with you.” Edward sighed. “If the tracker is there,” he continued grimly, “we keep driving.” “We’re going to make it there before him,” Alice said confidently. ""But he is close already,"" Alice murmured. ""He  is waiting for something to change."" Edward seemed to accept that."
9,048.txt,Location correctness,Carlisle is not in the scene once more.,"No one had touched him, but he was on the stone floor writhing in obvious agony, while I stared in horror. Carlisle gasped and threw himself forward  to help Edward, but was stopped by one of the bodyguards. "
10,054.txt,Emotional Relations,"Charlie showing respecto to Edward, he hates him though","“Speaking of college applications, Edward,” Charlie said,  his tone soft but earnest—every word to Edward chosen with a quiet  respect."
11,079.txt,Basic Coherence,"The sentence before it, is loaded with anger and energy, not soft.","“I was sort of counting on his reaction. Damn it all. He’s better than I thought.” The way he said it, though softly, reminded me of Edward’s tribute to Jacob’s lack of ethics in the tent this morning."
12,047.txt,Causality,A new magical object that is never used or mentioned again.,"I could have been pushing against the alley walls for all the progress I was making. The clock tolled, but he didn’t react. I reached to my pocket to grasp the amulet  and murmured a protective shant, as I felt warmth."
13,002.txt,Basic Coherence,"He looked harsh, but then he looks curious","I dropped my head, letting my hair fall to conceal my face. I was sure, though, in the instant our eyes met, that he looked harsh or unfriendly as he had the last time I’d seen him. He looked merely curious again, unsatisfied in some way."
14,011.txt,Emotional Relations,Bella behaves too abrupt and too angrily for the whole dynamic in the scene.,"“Then I’m very sorry I upset you.” he said. I crossed my arms and looked away through  the window, ignoring him. "
